Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
Karl-NAB,1566905039892,8028,1,SUCCESS,8028
Breadcentric,1567118561031,8034,2,SUCCESS,8034
JasonLian,1566694996347,8413,3,SUCCESS,8413
JimWu,1566012750706,8513,4,SUCCESS,8513
YiLunLi,1566645770716,8541,5,SUCCESS,8541
ZivHsu,1567256707327,8567,6,SUCCESS,8567
taiyaki-DevelopersIO,1566983437079,8777,7,SUCCESS,8777
Etaggel,1565317856430,8813,8,SUCCESS,8813
GT-DevelopersIO,1566135016550,8824,9,SUCCESS,8824
kimwooglae,1566776948720,9037,10,SUCCESS,9037
10millionPowers-DevelopersIO,1567286120795,9037,11,SUCCESS,9037
yojio,1567121190150,9048,12,SUCCESS,9048
iceman-NCTU-CGI,1566534202773,9269,13,SUCCESS,9269
nero-DNPds,1566264482600,9296,14,SUCCESS,9296
think,1566467164098,9371,15,SUCCESS,9371
RayG,1566577277020,9379,16,SUCCESS,9379
Fumiaki,1565460812452,9409,17,SUCCESS,9409
GonLoki,1566555189451,9421,18,SUCCESS,9421
Aiis-DNP,1567143896528,9454,19,SUCCESS,9454
mogamin,1567248340724,9510,20,SUCCESS,9510
Keaton,1566364835705,9526,21,SUCCESS,9526
RichardFan,1567106231152,9528,22,SUCCESS,9528
MarioCart,1566430636236,9572,23,SUCCESS,9572
Momotaro-DevelopersIO,1566435607831,9645,24,SUCCESS,9645
PGS-Tomasz-Panek,1565819407854,9673,25,SUCCESS,9673
matsunaga-SEC,1567224347283,9715,26,SUCCESS,9715
Sinuhe,1567081587814,9781,27,SUCCESS,9781
ShibaInu-DevelopersIO,1566737109744,9793,28,SUCCESS,9793
yamakawa-sec,1567081055393,9912,29,SUCCESS,9912
Jochem,1566944328323,9966,30,SUCCESS,9966
nalbam-me,1565237574084,9996,31,SUCCESS,9996
Mentaiko-DevelopersIO,1567236645253,10004,32,SUCCESS,10004
aws-challenger,1567295281141,10050,33,SUCCESS,10050
x-wing,1565363338756,10080,34,SUCCESS,10080
ChangsooCap,1566557982373,10133,35,SUCCESS,10133
hiroisojp,1566790286563,10210,36,SUCCESS,10210
Devina,1567245029005,10227,37,SUCCESS,10227
a-wing,1565211175706,10229,38,SUCCESS,10229
Sola-DNPds,1565230862543,10283,39,SUCCESS,10283
SmiffyKMC,1566997370470,10342,40,SUCCESS,10342
Dalyo,1566483356920,10387,41,SUCCESS,10387
fiat126p,1566935063618,10395,42,SUCCESS,10395
HY-DNP,1567065294992,10420,43,SUCCESS,10420
rosscomp1,1567194852787,10489,44,SUCCESS,10489
nalbam-mz,1565357518142,10500,45,SUCCESS,10500
Kire,1566675441608,10581,46,SUCCESS,10581
TrevorPierce,1566604797864,10603,47,SUCCESS,10603
Calin-Tesu,1566949151271,10614,48,SUCCESS,10614
myrace,1566560791253,10615,49,SUCCESS,10615
kodama-SEC,1566435810306,10631,50,SUCCESS,10631
fgozali,1567160295448,10654,51,SUCCESS,10654
pimpke,1566636927343,10670,52,SUCCESS,10670
DANKracer3,1567273675284,10674,53,SUCCESS,10674
samx18,1565403418185,10718,54,SUCCESS,10718
DarkChocolate,1567174939342,10724,55,SUCCESS,10724
hyeonwoo,1566364079646,10728,56,SUCCESS,10728
BSi,1565603230683,10731,57,SUCCESS,10731
leo-DNPds,1566564847602,10781,58,SUCCESS,10781
DeMRacer,1566767280084,10782,59,SUCCESS,10782
OneDudeDesign,1567019823921,10798,60,SUCCESS,10798
Common-Kingfisher,1566319645966,10811,61,SUCCESS,10811
Crikey,1566498918840,10847,62,SUCCESS,10847
Speedwagon,1567242378900,10855,63,SUCCESS,10855
Alex-Schultz,1565527543342,10860,64,SUCCESS,10860
Rubono,1565953082671,10860,65,SUCCESS,10860
hiratsuka-SEC,1567218701024,10873,66,SUCCESS,10873
Yamada-PCI,1566105016972,10916,67,SUCCESS,10916
lans,1566585408974,10941,68,SUCCESS,10941
