Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
IshikaG,1603919322160,3,104399,101636,313199,4.333333333333333,1,12,13,32,199,SUCCESS,313199,IuoXRHMVRVGvdaQ9cPoZzg,
Rakesh-Arumalla,1601869414755,3,104476,101554,313428,1.6666666666666667,3,2,5,1,200,SUCCESS,313428,agzUTeeLS8GvRr8Ge5JpJA,
SpeedyMax,1603099608539,3,104502,99401,313506,1.3333333333333333,1,3,4,2,201,SUCCESS,313506,IB9M6gW1RNqWKOfL8ltQng,
flyingspan007,1603872305366,3,105002,93914,315007,3.0,2,7,9,1,202,SUCCESS,315007,wmM4Y59zSHiSZlbdYRPGmg,
Gaussin,1603974715884,3,105041,89240,315125,11.0,3,30,33,1,203,SUCCESS,315125,duXtS4y3QTqJ4iQT-7QIjQ,
2020HondaCRV,1603945977389,3,105090,87047,315272,10.0,1,29,30,10,204,SUCCESS,315272,KW0Pz6urS-23tTpBlrciPg,
TestAlias448470503363,1602154602724,3,105416,100789,316249,3.0,0,9,9,1,205,SUCCESS,316249,pLEC4UpJRgyiUQO_gSIIig,
IshanBA24,1603197417725,3,105560,86394,316681,9.0,2,25,27,33,206,SUCCESS,316681,riFXMugwTCugZmAwtESuBg,
PrasadbabuLagu,1603856988949,3,105720,104588,317160,3.0,0,9,9,2,207,SUCCESS,317160,GRxa7sV0QEWc4ED8tK94GQ,
its-da-bandit,1604165984044,3,106361,98909,319084,12.0,4,32,36,15,208,SUCCESS,319084,cR9mjG5CSRy-JItWFP02QQ,
KN,1603768465079,3,106457,103056,319372,4.0,1,11,12,7,209,SUCCESS,319372,mTQ_dBNOSKW1FMUGkGlUWw,
GaryWest,1603271332042,3,106671,101257,320014,5.666666666666667,2,15,17,3,210,SUCCESS,320014,I3cg0iuwQJKE9ETJX-UYdQ,
ppillai-007,1604091248983,3,106766,99300,320299,5.333333333333333,0,16,16,39,211,SUCCESS,320299,fb9HpIgCRBK-FD7GrRpI7g,
holagente,1603158831026,3,106839,98546,320518,3.3333333333333335,0,10,10,1,212,SUCCESS,320518,WB5quX5zTkaAbYe_H6SkAQ,
AnujTalwar,1603689120089,3,107130,99534,321391,3.6666666666666665,1,10,11,1,213,SUCCESS,321391,upTWDrR4QKeikLC_cC9kpw,
