Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
KKI-HC-TW,1568603377764,58340,1039,SUCCESS,58340
llllllll,1569292701606,58345,1040,SUCCESS,58345
kenny,1567896804227,58346,1041,SUCCESS,58346
nazgul,1569690978944,58351,1042,SUCCESS,58351
TaiwanRacer,1568038279360,58351,1043,SUCCESS,58351
JosLemmerling,1568439915857,58356,1044,SUCCESS,58356
test1-20190928,1569641765220,58358,1045,SUCCESS,58358
dgranuzzo,1567470389982,58361,1046,SUCCESS,58361
Dexter,1569798880169,58364,1047,SUCCESS,58364
JohnDoeReMi,1569349333193,58369,1048,SUCCESS,58369
Helium,1568068757093,58381,1049,SUCCESS,58381
Sitarama-R,1567332205303,58384,1050,SUCCESS,58384
Racer0128,1569098167794,58385,1051,SUCCESS,58385
KR,1569870058485,58388,1052,SUCCESS,58388
DeepRacer96,1568517764046,58388,1053,SUCCESS,58388
DarkKnight,1569357321651,58390,1054,SUCCESS,58390
myLeagueRacer,1567691160949,58393,1055,SUCCESS,58393
LIBRE-BOK,1568301537271,58393,1056,SUCCESS,58393
vdgxr,1569622505280,58402,1057,SUCCESS,58402
raga,1569357279462,58402,1058,SUCCESS,58402
Name,1568241202413,58408,1059,SUCCESS,58408
Hogenimushi,1568896123726,58410,1060,SUCCESS,58410
Archanaq,1569338706015,58415,1061,SUCCESS,58415
Rohitvk05,1569131519443,58416,1062,SUCCESS,58416
NoobySavage,1569819057622,58417,1063,SUCCESS,58417
viksingh2,1568003108597,58418,1064,SUCCESS,58418
racer00909,1569461183605,58419,1065,SUCCESS,58419
gpmattoo,1567571012792,58421,1066,SUCCESS,58421
LoganGol,1569762190580,58422,1067,SUCCESS,58422
AdvanceRacer,1567673197526,58429,1068,SUCCESS,58429
sonduong,1569158430256,58431,1069,SUCCESS,58431
AGracer,1567972558688,58438,1070,SUCCESS,58438
Hzekklor,1569882269519,58442,1071,SUCCESS,58442
qwerty,1569356488052,58444,1072,SUCCESS,58444
miracleHSK,1569299067828,58445,1073,SUCCESS,58445
Sabine98,1568663541099,58452,1074,SUCCESS,58452
chethan,1569528620120,58458,1075,SUCCESS,58458
TwoPointOh,1569356667294,58462,1076,SUCCESS,58462
Jen,1567792257473,58462,1077,SUCCESS,58462
sudoku,1568002167919,58467,1078,SUCCESS,58467
Old-Nico,1567736686925,58467,1079,SUCCESS,58467
Bkazour,1569879686923,58476,1080,SUCCESS,58476
Swapnil,1568042301290,58483,1081,SUCCESS,58483
RLNYCar,1568041042099,58484,1082,SUCCESS,58484
TheDeepestRacer,1568299536984,58484,1083,SUCCESS,58484
Racer1,1568659428883,58489,1084,SUCCESS,58489
Corrida1ShanghaiSudu,1567781524164,58492,1085,SUCCESS,58492
boisdarbre,1568992322815,58492,1086,SUCCESS,58492
Roro,1569791099282,58494,1087,SUCCESS,58494
ShuvoDebnath,1568520451211,58496,1088,SUCCESS,58496
Altera,1569626986217,58511,1089,SUCCESS,58511
Deep,1567582371294,58512,1090,SUCCESS,58512
saski,1569847289327,58517,1091,SUCCESS,58517
TheFuryCat,1568881238465,58520,1092,SUCCESS,58520
Speedy-Toffee,1568441786482,58525,1093,SUCCESS,58525
xian,1569858879872,58526,1094,SUCCESS,58526
dreamliner,1568375164295,58526,1095,SUCCESS,58526
Yang,1569338718884,58526,1096,SUCCESS,58526
Chewy,1568893615146,58527,1097,SUCCESS,58527
tempolibero,1568050914679,58531,1098,SUCCESS,58531
Srujan,1569270508535,58536,1099,SUCCESS,58536
111,1569747062927,58541,1100,SUCCESS,58541
Daylon,1568735648469,58541,1101,SUCCESS,58541
JUSTINMKAUFMAN,1567311091376,58544,1102,SUCCESS,58544
MickeD16887,1569576297997,58546,1103,SUCCESS,58546
Shuvo,1568519907839,58552,1104,SUCCESS,58552
HollowWord,1568243480075,58565,1105,SUCCESS,58565
PWW-Changbao,1568861315914,58574,1106,SUCCESS,58574
AlTookOFF007,1568296535308,58581,1107,SUCCESS,58581
thetravellerone,1569024798173,58594,1108,SUCCESS,58594
Emsi,1569330474976,58597,1109,SUCCESS,58597
Gandhi,1569361193688,58603,1110,SUCCESS,58603
FollowCenter,1568102763169,58626,1111,SUCCESS,58626
user728,1567884422245,58640,1112,SUCCESS,58640
race-omar1,1568045446902,58643,1113,SUCCESS,58643
DimitriosT,1569330514507,58647,1114,SUCCESS,58647
Doking,1567519107213,58652,1115,SUCCESS,58652
JLG-1st,1567648899306,58654,1116,SUCCESS,58654
retrogage,1568303642662,58677,1117,SUCCESS,58677
Qui,1567678204139,58680,1118,SUCCESS,58680
bobi86,1568180510681,58687,1119,SUCCESS,58687
PeterHolt,1567878984061,58690,1120,SUCCESS,58690
AlphaTurbo,1568984793808,58696,1121,SUCCESS,58696
SuperModelHBC,1568043141451,58706,1122,SUCCESS,58706
Strype9,1567720574003,58707,1123,SUCCESS,58707
McLightningQueen,1568194888850,58707,1124,SUCCESS,58707
cSquads,1569513138474,58726,1125,SUCCESS,58726
Club-AWeSome,1568397333152,58735,1126,SUCCESS,58735
Lena571,1568304226095,58790,1127,SUCCESS,58790
Noureldin,1567775022533,58811,1128,SUCCESS,58811
Boga,1569286153409,58819,1129,SUCCESS,58819
bharatcart,1569286357687,58888,1130,SUCCESS,58888
coelinnho-negro,1569590255905,59129,1131,SUCCESS,59129
fcincott-test-1-followcenter,1567534694382,59157,1132,SUCCESS,59157
ashritdeebadi,1568130524791,59189,1133,SUCCESS,59189
Saven,1569882147050,59199,1134,SUCCESS,59199
Trial-Default,1569867549940,59248,1135,SUCCESS,59248
Najaf,1568045975349,59310,1136,SUCCESS,59310
Priest01,1567340693645,59388,1137,SUCCESS,59388
qwert1,1569324532092,59410,1138,SUCCESS,59410
adriamntest12,1567732987318,59436,1139,SUCCESS,59436
typhoon,1569278919860,59666,1140,SUCCESS,59666
M2KeyOfZ,1569569946029,59938,1141,SUCCESS,59938
SanSebastian,1569885713331,60016,1142,SUCCESS,60016
santiagobs,1569851087551,60100,1143,SUCCESS,60100
ICEQueen,1569511412713,60330,1144,SUCCESS,60330
DieBauhausAxt,1568650635948,60646,1145,SUCCESS,60646
Mr-AWESOME,1569165133312,61177,1146,SUCCESS,61177
rizkyfaul,1567572643488,61184,1147,SUCCESS,61184
Follow-Center-Line,1569861157340,61307,1148,SUCCESS,61307
The-James,1567712110200,61468,1149,SUCCESS,61468
JotaCe,1568598845889,61774,1150,SUCCESS,61774
drunken-monkey,1567363043839,61935,1151,SUCCESS,61935
dzhdgf,1569585644855,61959,1152,SUCCESS,61959
y-sugawara,1567402377068,62066,1153,SUCCESS,62066
filiptanu,1569309613158,62126,1154,SUCCESS,62126
chan,1569162271637,63825,1155,SUCCESS,63825
nithiroj,1569845244908,64828,1156,SUCCESS,64828
tamer,1567851276946,65935,1157,SUCCESS,65935
leagueRacer,1568744335364,66265,1158,SUCCESS,66265
My1stRacer,1569343575832,66760,1159,SUCCESS,66760
abhihpes,1568396959842,66869,1160,SUCCESS,66869
Parthu,1568997547476,66990,1161,SUCCESS,66990
RutilRacer,1568536245285,67025,1162,SUCCESS,67025
pitcher,1569335270801,68091,1163,SUCCESS,68091
talalModel,1569001193265,68721,1164,SUCCESS,68721
Riskeverthg,1568350698143,69104,1165,SUCCESS,69104
Reincarnated,1568050959823,69133,1166,SUCCESS,69133
