Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Fumiaki,1561354638532,10312,1,SUCCESS,10312,5RzBNYRAQoWVausi3eyhRg
Karl-NAB,1560887971400,10609,2,SUCCESS,10609,4vOOxLIsSjeL2WFaO5o_fQ
kimwooglae,1561093436296,10639,3,SUCCESS,10639,bOqKo-ebR_essdUaZVGO4Q
think,1561849520536,11091,4,SUCCESS,11091,IHHC4YftQLaMAs0VyXFJzw
Sola-DNPds,1561959105901,11167,5,SUCCESS,11167,qH2hI69YTQGTOyWa15PW3w
nero-DNPds,1560237763048,11607,6,SUCCESS,11607,fdqnbHDPSbKcnf8kE5xuMQ
Breadcentric,1561953661081,11876,7,SUCCESS,11876,SjNec5b-SpOk7y9b6rh4KQ
hiroisojp,1561947507312,12124,8,SUCCESS,12124,_0ZNctRRQz2bXTbPUszW1Q
Richard-Fan,1561619440229,12154,9,SUCCESS,12154,oxm3h2AtTpGqAnGZ4vzYpg
Jochem,1561632748371,12243,10,SUCCESS,12243,RBPhZc5eTVmEF_gpSV7skg
nalbam-me,1561619598601,12937,11,SUCCESS,12937,PnRru4vBRkeyT4xX6LOCtw
Etaggel,1561746481469,13162,12,SUCCESS,13162,BwHxax8oR-e8kzZqNd5_Sw
ABaykov,1561461396458,13260,13,SUCCESS,13260,aa28j7SWTd-LxMzvFoj_bA
mogamin,1561037698623,13359,14,SUCCESS,13359,w_Y5mt1vSTuvUJfW5G9bUw
VisionThings#1,1561502782267,15600,15,SUCCESS,15600,N0y9CR6fQN-a4UlAFsTC5Q
Robin-Castro,1561907479448,15836,16,SUCCESS,15836,qaH8R2-8TlG79mslpdPfGg
Mentaiko-DevelopersIO,1561961850258,16726,17,SUCCESS,16726,Wt5C8BPAS0OPlzY3-txb-w
glivon,1560506535427,17742,18,SUCCESS,17742,dizRlTizQbCSQc33DhKzjg
DarkChocolate,1560986897917,18052,19,SUCCESS,18052,ROK8anfTQWqjqiA5F3p13Q
Alex-Schultz,1561949802868,21522,20,SUCCESS,21522,rTBRi4_hQXW0hS5_UhvOFg
TEAMMCMILLION,1560799639547,21604,21,SUCCESS,21604,z9fFBmT_RyqzchqDx1v2SA
GT-DevelopersIO,1561962021691,22420,22,SUCCESS,22420,8WSp4P7ZRn-jJgZLnugwkA
TW-JTYeh,1560314942736,22976,23,SUCCESS,22976,mz3VHcPLRnWqoi8wbdC_4w
mura,1559705585482,23277,24,SUCCESS,23277,SZrO5d1sQmemxPxBPska_g
RayG-DBS,1561962918554,23393,25,SUCCESS,23393,YNrvM9f5RteeSrCl7oFC5w
NewSpeed,1561426029780,25154,26,SUCCESS,25154,O6ueG2wYT6aD1Cv_Lnf-7g
Wasabi-DevelopersIO,1561818935680,25476,27,SUCCESS,25476,Fmb5j9UgQ_2xkleK0vwXOg
HKW,1561631465970,25902,28,SUCCESS,25902,t0kT7zjvQ2iMhBgPZwnhxg
TheOldTrackBoss,1561103965358,25962,29,SUCCESS,25962,hbVXmPNNTAGt_ndmy0JCtg
canary,1560206289214,27817,30,SUCCESS,27817,LLcCQI42QVGeCZtaI-gwUw
Yamada-PCI,1561625346568,31366,31,SUCCESS,31366,ybF99KZoTcWtex1zZFdiUg
Arimitsu,1560417836560,45672,32,SUCCESS,45672,QTh28e-rSym8n03kRQmcOQ
TxRacing,1560378145842,62095,33,SUCCESS,62095,btCquVIuRl6X1hnNwlYpjg
RacerPen,1560376259057,62946,34,SUCCESS,62946,jEkEOpjZRhGUbyDZIfTo_A
maestrodigatto,1559852648516,83288,35,SUCCESS,83288,zzphb-pJRKixPFNl5_nzWg
