Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
Gabe-Model-2,1603155356054,3,165587,146072,496762,10.0,20,10,30,13,54,SUCCESS,496762,dFnnuFrBTpiW8t_ciJp11g,
puradravi-acc-07,1603910695638,3,172951,121377,518854,18.333333333333332,53,2,55,1,55,SUCCESS,518854,cv1M5p8zQC2m-tqySDM19Q,
Merfoulis,1604180070726,3,177184,88743,531553,21.666666666666668,58,7,65,5,56,SUCCESS,531553,ZXo038NgQoikG6lL_A5fVQ,
MyFirstModelCar,1603779636404,3,178259,152202,534779,12.333333333333334,29,8,37,2,57,SUCCESS,534779,K5YAg4knRm20C5-i758sYw,
luna,1603313224373,3,180321,166006,540963,13.333333333333334,37,3,40,1,58,SUCCESS,540963,bGRSNpZ6ThOHJRjIwSiRHQ,
MIS3B-1,1602500459467,3,185357,88040,556071,23.0,63,6,69,2,59,SUCCESS,556071,YJPvbNOBRCGZzNevBDuYZw,
FirstModel,1603787082506,3,192524,136838,577574,13.666666666666666,28,13,41,2,60,SUCCESS,577574,ByrzIU1dQJGm-44zn8tDvA,
think,1602611514690,3,195648,122268,586946,29.333333333333332,47,41,88,1048,61,SUCCESS,586946,IHHC4YftQLaMAs0VyXFJzw,
KN,1603856085827,3,196181,172959,588545,17.333333333333332,34,18,52,1,62,SUCCESS,588545,mTQ_dBNOSKW1FMUGkGlUWw,
CS,1603370357040,3,204914,145430,614742,16.0,30,18,48,1,63,SUCCESS,614742,OR8iWiRRSMWibpJnVsZkgg,
AniketPeeyushVishal,1603972444589,3,205081,181299,615245,7.666666666666667,18,5,23,10,64,SUCCESS,615245,uibfhhAqQj22sdRl5TCNdA,
Jozef-Mak,1602842321549,3,212722,189636,638167,30.666666666666668,57,35,92,2,65,SUCCESS,638167,ADtIv73CS7SUDypuGuW-jA,
