Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Karl-NAB,1564342983954,8778,1,SUCCESS,8778,4vOOxLIsSjeL2WFaO5o_fQ
Etaggel,1563903690967,9475,2,SUCCESS,9475,BwHxax8oR-e8kzZqNd5_Sw
Breadcentric,1563687006323,10028,3,SUCCESS,10028,SjNec5b-SpOk7y9b6rh4KQ
think,1564401803548,10263,4,SUCCESS,10263,IHHC4YftQLaMAs0VyXFJzw
kimwooglae,1564401929056,10264,5,SUCCESS,10264,bOqKo-ebR_essdUaZVGO4Q
nero-DNPds,1564393450746,10408,6,SUCCESS,10408,fdqnbHDPSbKcnf8kE5xuMQ
GT-DevelopersIO,1564487708845,11303,7,SUCCESS,11303,8WSp4P7ZRn-jJgZLnugwkA
Jochem,1562988333513,11421,8,SUCCESS,11421,RBPhZc5eTVmEF_gpSV7skg
Sola-DNPds,1562888930335,11453,9,SUCCESS,11453,qH2hI69YTQGTOyWa15PW3w
Fumiaki,1563494092235,11627,10,SUCCESS,11627,5RzBNYRAQoWVausi3eyhRg
nalbam-me,1562667033067,11631,11,SUCCESS,11631,PnRru4vBRkeyT4xX6LOCtw
mogamin,1564115954294,11868,12,SUCCESS,11868,w_Y5mt1vSTuvUJfW5G9bUw
Mentaiko-DevelopersIO,1564593908192,11968,13,SUCCESS,11968,Wt5C8BPAS0OPlzY3-txb-w
Alex-Schultz,1564286775527,11987,14,SUCCESS,11987,rTBRi4_hQXW0hS5_UhvOFg
ShibaInu-DevelopersIO,1563425098488,12022,15,SUCCESS,12022,q3lEztDGTfSD-GgkF5IgTg
hiroisojp,1564591717291,12174,16,SUCCESS,12174,_0ZNctRRQz2bXTbPUszW1Q
ABaykov,1564460705261,12280,17,SUCCESS,12280,aa28j7SWTd-LxMzvFoj_bA
RayG-DBS,1563973481848,13501,18,SUCCESS,13501,YNrvM9f5RteeSrCl7oFC5w
Yamada-PCI,1563429722399,14169,19,SUCCESS,14169,ybF99KZoTcWtex1zZFdiUg
Wasabi-DevelopersIO,1562312864072,16435,20,SUCCESS,16435,Fmb5j9UgQ_2xkleK0vwXOg
Robin-Castro,1563854541934,16514,21,SUCCESS,16514,qaH8R2-8TlG79mslpdPfGg
VisionThings#1,1562704369123,16674,22,SUCCESS,16674,N0y9CR6fQN-a4UlAFsTC5Q
TRS-DR,1563036269871,17323,23,SUCCESS,17323,zMjLOJ-lQs-yFyRGAVIGeg
DarkChocolate,1564004997086,17436,24,SUCCESS,17436,ROK8anfTQWqjqiA5F3p13Q
Tricycle-NiftyLAB,1564385239338,17568,25,SUCCESS,17568,0QJuiEnUQRSzfwcN8yCM0A
mura,1562917232810,17593,26,SUCCESS,17593,SZrO5d1sQmemxPxBPska_g
Michael-Equi,1563659217588,18466,27,SUCCESS,18466,MmwM7AH1SWCbIzg3Kg0Y4Q
SMYKsMagicBullet,1563784207121,19339,28,SUCCESS,19339,wTnQCBkoSjW51_oT4lP6ag
sakai-r8s3,1562671973170,19572,29,SUCCESS,19572,Luc8XkVsR5OAEyLT-9JAdw
DORacer,1563949540617,20429,30,SUCCESS,20429,7zSRt24cTzaBYqPQs59D-w
D4D-test,1564060328267,20569,31,SUCCESS,20569,wzuB6MwPTY-__1cmWPjkFA
JJ,1562958542784,21685,32,SUCCESS,21685,afdcX_4vRH6Ussd0mbg5LQ
Richard-Fan,1562153023385,22134,33,SUCCESS,22134,oxm3h2AtTpGqAnGZ4vzYpg
canary,1563310896172,26263,34,SUCCESS,26263,LLcCQI42QVGeCZtaI-gwUw
hirosys,1563229163287,27150,35,SUCCESS,27150,DhYHXwMpSFuKMR0_Hv3Ndg
HKW,1562054541629,27322,36,SUCCESS,27322,t0kT7zjvQ2iMhBgPZwnhxg
shivamgarg,1563861836652,28759,37,SUCCESS,28759,lcbTqvodQQafR4PKic6Ebg
LuiX,1564328410560,33264,38,SUCCESS,33264,0NCqw4XFR9G70Ud6mp5fRw
obc,1562840645798,38077,39,SUCCESS,38077,AzSd2BP3SqeZleM5AQoXPQ
atouteberzingue,1561988829366,89788,40,SUCCESS,89788,8rGCph2rS9uk-H4kVkyalg
SKModel,1562099567138,109670,41,SUCCESS,109670,pWelvVFgSMOHMek7aoK2Pw
