Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Karl-NAB,1572214144116,7306,1,SUCCESS,7306,4vOOxLIsSjeL2WFaO5o_fQ
JJ,1572515368961,7575,2,SUCCESS,7575,afdcX_4vRH6Ussd0mbg5LQ
ShibaInu-DevelopersIO,1572543609210,7964,3,SUCCESS,7964,q3lEztDGTfSD-GgkF5IgTg
D4D-test,1572492350014,7988,4,SUCCESS,7988,wzuB6MwPTY-__1cmWPjkFA
Keaton,1572289255358,8181,5,SUCCESS,8181,pqS3RXTyQXGkMiQtDw3xrw
Breadcentric,1572505209757,8240,6,SUCCESS,8240,SjNec5b-SpOk7y9b6rh4KQ
piano,1571896447779,8248,7,SUCCESS,8248,UlhPeJD_R1mP1YVlotOxSA
Yeti,1572503713434,8378,8,SUCCESS,8378,1SGxAyrnQ96tWb-rolMeBQ
GT-DevelopersIO,1572158717708,8392,9,SUCCESS,8392,8WSp4P7ZRn-jJgZLnugwkA
think,1572325424980,8427,10,SUCCESS,8427,IHHC4YftQLaMAs0VyXFJzw
OneDudeDesign,1572208959554,8440,11,SUCCESS,8440,tLd0GWYiT0qzqq6YRFVXhg
kimwooglae,1570500301182,8509,12,SUCCESS,8509,bOqKo-ebR_essdUaZVGO4Q
Usin,1571750275485,8610,13,SUCCESS,8610,0U0AhasoQkySiJ1to8xBZw
Fumiaki,1572413349018,8630,14,SUCCESS,8630,5RzBNYRAQoWVausi3eyhRg
RayG-DBS,1571775720761,8648,15,SUCCESS,8648,YNrvM9f5RteeSrCl7oFC5w
Richard-Fan,1572023072786,8695,16,SUCCESS,8695,oxm3h2AtTpGqAnGZ4vzYpg
Mentaiko-DevelopersIO,1572320745289,8728,17,SUCCESS,8728,Wt5C8BPAS0OPlzY3-txb-w
Robin-Castro,1572135738598,8773,18,SUCCESS,8773,qaH8R2-8TlG79mslpdPfGg
Kire,1572290583237,8781,19,SUCCESS,8781,N0y9CR6fQN-a4UlAFsTC5Q
dartjason,1572194224632,8789,20,SUCCESS,8789,JSflDq5rQgKEuA5Ots4kDQ
Jerec,1572060971309,8900,21,SUCCESS,8900,RH6ep-5mRmmVLqHClba8_Q
Wasabi-DevelopersIO,1572401709315,8927,22,SUCCESS,8927,Fmb5j9UgQ_2xkleK0vwXOg
Etaggel,1571103720200,9037,23,SUCCESS,9037,BwHxax8oR-e8kzZqNd5_Sw
ABaykov,1572298366246,9047,24,SUCCESS,9047,aa28j7SWTd-LxMzvFoj_bA
nero-DNPds,1569903134422,9068,25,SUCCESS,9068,fdqnbHDPSbKcnf8kE5xuMQ
