Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
FLNGRY,1591886655782,3,37621,26394,112864,4.333333333333333,12,1,13,1,79,SUCCESS,112864
exterior-muzzle,1591218146320,3,38307,33179,114921,5.0,7,8,15,4,80,SUCCESS,114921
believe,1593461184178,3,38396,32595,115190,3.3333333333333335,9,1,10,1,81,SUCCESS,115190
Red-Cow-Rally-Team,1592513412750,3,38623,32456,115870,3.0,9,0,9,2,82,SUCCESS,115870
meharmadnani,1592844193255,3,38914,34871,116743,6.333333333333333,9,10,19,2,83,SUCCESS,116743
bubula,1593530079651,3,41470,38914,124412,1.0,1,2,3,2,84,SUCCESS,124412
SMYKsMagicBullet,1592477078566,3,41513,36662,124539,2.3333333333333335,5,2,7,1,85,SUCCESS,124539
onepau,1591112295110,3,41591,39996,124774,0.0,0,0,0,1,86,SUCCESS,124774
Ashish-Langote,1592038874844,3,41741,30479,125224,3.3333333333333335,6,4,10,2,87,SUCCESS,125224
ThatChocolateGuy,1590977263665,3,41882,32523,125648,1.6666666666666667,5,0,5,1,88,SUCCESS,125648
IceManNCSU,1592233508820,3,41979,34882,125937,10.333333333333334,3,28,31,4,89,SUCCESS,125937
HongKongers,1592150894534,3,42901,36024,128704,1.3333333333333333,4,0,4,2,90,SUCCESS,128704
NgDinhNha,1591135075023,3,44423,37329,133271,7.666666666666667,6,17,23,3,91,SUCCESS,133271
Rakesh-Arumalla,1591767280352,3,45075,37922,135225,1.0,2,1,3,1,92,SUCCESS,135225
GT-Racing,1591192940676,3,45401,33433,136204,4.666666666666667,4,10,14,3,93,SUCCESS,136204
JustPureVelocity,1592682428807,3,45507,36313,136523,4.666666666666667,10,4,14,1,94,SUCCESS,136523
mfxc-DENSO,1592816393963,3,46469,24558,139408,9.666666666666666,9,20,29,1,95,SUCCESS,139408
Joffe-Cybercom,1592766333732,3,47448,36450,142344,6.0,14,4,18,1,96,SUCCESS,142344
foscarrrrr,1591070836512,3,48399,42868,145199,6.333333333333333,15,4,19,1,97,SUCCESS,145199
CaliSchwiizer,1591030730399,3,50223,29442,150669,5.333333333333333,16,0,16,1,98,SUCCESS,150669
YMZK-DENSO,1592815407089,3,51673,41654,155021,12.0,7,29,36,1,99,SUCCESS,155021
msckrishna,1591980641977,3,73349,71010,220048,6.333333333333333,4,15,19,1,100,SUCCESS,220048
