Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
Oba8,1560498793713,23143,139,SUCCESS,23143
KON-test,1560405387927,23157,140,SUCCESS,23157
mura,1559705585482,23277,141,SUCCESS,23277
Robijohn,1561461668910,23305,142,SUCCESS,23305
KnownUnknown,1559740338521,23310,143,SUCCESS,23310
RayG,1561962918554,23393,144,SUCCESS,23393
PaleTiger,1560270069527,23473,145,SUCCESS,23473
MAKIMURA,1560143785583,23503,146,SUCCESS,23503
Wong-Meow-Express,1561689770231,23545,147,SUCCESS,23545
SimonR-NYC,1560874274461,23635,148,SUCCESS,23635
HY-DNP,1559642402883,23656,149,SUCCESS,23656
mochiko,1560194726710,23657,150,SUCCESS,23657
SU,1561015255646,23690,151,SUCCESS,23690
klin-p1software,1561311231412,23884,152,SUCCESS,23884
Nick-K,1561682190256,23933,153,SUCCESS,23933
RoboCalvin,1560118349075,23946,154,SUCCESS,23946
Lokey-CHK,1561740842187,24006,155,SUCCESS,24006
seiji,1560345234065,24012,156,SUCCESS,24012
Nethers,1560833354273,24061,157,SUCCESS,24061
hariby,1560133367972,24089,158,SUCCESS,24089
tn,1561207538012,24222,159,SUCCESS,24222
dragon,1560027221576,24426,160,SUCCESS,24426
tw-hanshans,1560315010163,24618,161,SUCCESS,24618
k-asuda-nri,1560550485022,24633,162,SUCCESS,24633
Maddog,1559729155252,24673,163,SUCCESS,24673
20190417,1560951543176,24714,164,SUCCESS,24714
masa10121973,1561794057954,24746,165,SUCCESS,24746
bro-DNPmt,1561064642579,24755,166,SUCCESS,24755
El-Mazatleco,1560373632565,24828,167,SUCCESS,24828
ikeay-car,1560406853228,24946,168,SUCCESS,24946
PuneetS,1560271132713,24959,169,SUCCESS,24959
mssqlsense,1559732696004,25014,170,SUCCESS,25014
McTesty,1559718082677,25068,171,SUCCESS,25068
MattC,1559646098653,25119,172,SUCCESS,25119
NewSpeed,1561426029780,25154,173,SUCCESS,25154
Quinnuth,1560016244892,25171,174,SUCCESS,25171
j33778,1560438928727,25232,175,SUCCESS,25232
RadBug,1559753437512,25317,176,SUCCESS,25317
BeepBoop,1560535345112,25421,177,SUCCESS,25421
Shinsuke,1561767008096,25435,178,SUCCESS,25435
Wasabi-DevelopersIO,1561818935680,25476,179,SUCCESS,25476
amybg,1561725427428,25544,180,SUCCESS,25544
VMone534002,1560768585622,25638,181,SUCCESS,25638
HKW,1561631465970,25902,182,SUCCESS,25902
masa-redmage,1560436991288,25955,183,SUCCESS,25955
LuckyMan,1561103965358,25962,184,SUCCESS,25962
mayama-mediba,1560459691714,26104,185,SUCCESS,26104
sk-deepracer,1559761340916,26210,186,SUCCESS,26210
Le-Fleur,1559737468128,26238,187,SUCCESS,26238
ScottRacer-Stay-On-Track,1560682511009,26348,188,SUCCESS,26348
wsantoso,1561208073626,26350,189,SUCCESS,26350
Gamekiller77-CiscoGIS,1561749966602,26389,190,SUCCESS,26389
ksongk,1561920265962,26435,191,SUCCESS,26435
casper,1559744711605,26436,192,SUCCESS,26436
rickybobby,1560373832773,26479,193,SUCCESS,26479
adam-invast,1560455500318,26557,194,SUCCESS,26557
janiza,1559666447412,26580,195,SUCCESS,26580
syxuan2,1560356856577,26800,196,SUCCESS,26800
JackyWu,1560404872732,27006,197,SUCCESS,27006
MACK,1561404594671,27019,198,SUCCESS,27019
Tenpi,1560241167164,27107,199,SUCCESS,27107
RyanKuhn,1560794876847,27120,200,SUCCESS,27120
TheSGBgamer,1561929805292,27170,201,SUCCESS,27170
gurumaia,1561085114279,27221,202,SUCCESS,27221
Benno,1559672981630,27470,203,SUCCESS,27470
CmRacer3,1561614280757,27483,204,SUCCESS,27483
stefan,1560234831964,27546,205,SUCCESS,27546
BonsAI,1560269403681,27691,206,SUCCESS,27691
Onikur,1561798456472,27748,207,SUCCESS,27748
Chilly,1560864169481,27811,208,SUCCESS,27811
clight,1560429337839,27816,209,SUCCESS,27816
canary,1560206289214,27817,210,SUCCESS,27817
Race1,1561594099404,27884,211,SUCCESS,27884
Paradigma,1560167047861,27995,212,SUCCESS,27995
FireRock,1560184906175,28015,213,SUCCESS,28015
okiyasu1st,1560010087414,28168,214,SUCCESS,28168
GuitarPeep,1560395420967,28345,215,SUCCESS,28345
Ravster,1561150304575,28345,216,SUCCESS,28345
omegagussan,1559831334328,28650,217,SUCCESS,28650
einfachgust,1559738902630,28658,218,SUCCESS,28658
Higuma-Mori,1561297842557,28695,219,SUCCESS,28695
AlbertoCamusRacing,1560362349654,28919,220,SUCCESS,28919
Mary-K,1561262084629,29071,221,SUCCESS,29071
SoulDrive,1560171781882,29109,222,SUCCESS,29109
kkishi9674,1561898281129,29140,223,SUCCESS,29140
TMD2,1560040988840,29366,224,SUCCESS,29366
Earth-Rover,1561958319248,29386,225,SUCCESS,29386
rvvittal-london-loop,1560024883695,29458,226,SUCCESS,29458
david-d2si,1559945683217,29550,227,SUCCESS,29550
DoctorBlaine,1559671240405,29831,228,SUCCESS,29831
Ciccio,1561104471781,29962,229,SUCCESS,29962
Lizardon,1561397668139,30022,230,SUCCESS,30022
amro-8,1561817668396,30084,231,SUCCESS,30084
sinned,1561128920345,30090,232,SUCCESS,30090
yrockfield,1561103148896,30140,233,SUCCESS,30140
HaPQ,1560216065535,30177,234,SUCCESS,30177
daoyuan,1559818444465,30198,235,SUCCESS,30198
aaver9,1560953030437,30679,236,SUCCESS,30679
Niida,1560464465348,30766,237,SUCCESS,30766
HermanC-HKG,1560998478532,30776,238,SUCCESS,30776
ExportedCheese,1559619096093,30950,239,SUCCESS,30950
PyrateDave,1560169133665,30958,240,SUCCESS,30958
Samu94,1560573054807,31055,241,SUCCESS,31055
FR0M-DNP,1560212050096,31141,242,SUCCESS,31141
Yamada-PCI,1561625346568,31366,243,SUCCESS,31366
slav,1559664410177,31698,244,SUCCESS,31698
OsushiRacer1,1560474480866,31736,245,SUCCESS,31736
TEAMMCMILLIONS,1560209281563,31933,246,SUCCESS,31933
jayant-pwc,1561731316208,32000,247,SUCCESS,32000
blackdog1,1559714067034,32213,248,SUCCESS,32213
TrapdoggMillionaire,1559776748631,32453,249,SUCCESS,32453
20190605,1560134817261,32582,250,SUCCESS,32582
blue-sim,1561050370386,32793,251,SUCCESS,32793
fujita1203,1559737718661,32797,252,SUCCESS,32797
SizL,1559724187903,33617,253,SUCCESS,33617
Thiyagu-Verizon,1561898264784,34056,254,SUCCESS,34056
mgu27,1559620814397,34193,255,SUCCESS,34193
YutaPP,1561864097154,34249,256,SUCCESS,34249
kazuya,1559656814231,34547,257,SUCCESS,34547
RLRacing,1561267148069,34910,258,SUCCESS,34910
astronav,1560383884100,34965,259,SUCCESS,34965
DBroRacer,1560617674655,35338,260,SUCCESS,35338
Kuu,1560053195960,36103,261,SUCCESS,36103
itsuyan,1561903090080,36249,262,SUCCESS,36249
NeuralNinja,1559707567469,36356,263,SUCCESS,36356
no1,1560496351018,36668,264,SUCCESS,36668
deepsawa,1560067273012,36731,265,SUCCESS,36731
dada,1561041110051,36779,266,SUCCESS,36779
AWSunRome1,1560357557502,36849,267,SUCCESS,36849
tashiromi,1560231206167,37234,268,SUCCESS,37234
jg,1560524758601,37430,269,SUCCESS,37430
rhyme-dummies,1561217091442,37609,270,SUCCESS,37609
MarkReimer,1559712067236,38143,271,SUCCESS,38143
elsenhuc,1559820830663,38193,272,SUCCESS,38193
Char,1560121742792,38677,273,SUCCESS,38677
houracer,1560208622038,39046,274,SUCCESS,39046
suneric,1561110987292,39573,275,SUCCESS,39573
MikeB,1560220764249,39776,276,SUCCESS,39776
Douglas-Kei,1561571647225,39841,277,SUCCESS,39841
Narashika-DevelopersIO,1561879421762,39843,278,SUCCESS,39843
Tueftler,1559607425704,40198,279,SUCCESS,40198
CurtisD,1560796485999,40312,280,SUCCESS,40312
PW-JH,1561125946413,41553,281,SUCCESS,41553
JKLRaceCar,1560281548745,41950,282,SUCCESS,41950
dzessi,1559686378274,42183,283,SUCCESS,42183
Omatchan,1561684756814,42254,284,SUCCESS,42254
monamo,1561487695400,42503,285,SUCCESS,42503
skengo,1561334420822,42562,286,SUCCESS,42562
Chumicat,1560381876821,43896,287,SUCCESS,43896
tmp1,1560447893983,44012,288,SUCCESS,44012
ShingoCYDAS,1560484592359,45101,289,SUCCESS,45101
Arimitsu,1560417836560,45672,290,SUCCESS,45672
GachimotoRacer,1559805664632,46665,291,SUCCESS,46665
delta,1561963110392,47354,292,SUCCESS,47354
kobaTest,1560587235610,47628,293,SUCCESS,47628
herbie53,1561921888648,48026,294,SUCCESS,48026
nt20190523,1561080896531,48558,295,SUCCESS,48558
Yarl-racer,1560435509219,49381,296,SUCCESS,49381
Abankson1,1560388196961,49868,297,SUCCESS,49868
syxuan,1560320419256,50902,298,SUCCESS,50902
TorqueSteer,1559680493071,53465,299,SUCCESS,53465
tttak-test00,1560069525004,54398,300,SUCCESS,54398
MSL,1560196359715,55670,301,SUCCESS,55670
IPGaming,1559765689313,56987,302,SUCCESS,56987
maroon1st-DevelopersIO,1561963903579,58683,303,SUCCESS,58683
GCLIM,1561776490463,61507,304,SUCCESS,61507
p1886654,1560341860611,61814,305,SUCCESS,61814
g-racer-b,1560899435535,61994,306,SUCCESS,61994
strategicallynicole,1560922048464,61997,307,SUCCESS,61997
itony,1560234651327,62072,308,SUCCESS,62072
TxRacing,1560378145842,62095,309,SUCCESS,62095
james-li,1561349901693,62139,310,SUCCESS,62139
SubayaiMoyatake,1560566667554,62153,311,SUCCESS,62153
CarJoshua,1560336672701,62211,312,SUCCESS,62211
sammax2012,1560356433092,62223,313,SUCCESS,62223
Yoshishima,1561782490065,62302,314,SUCCESS,62302
ShangIT,1560060416789,62309,315,SUCCESS,62309
kelvinlam008200,1561528540868,62317,316,SUCCESS,62317
Speedy,1561934308139,62354,317,SUCCESS,62354
Supermomie,1561333499424,62359,318,SUCCESS,62359
kazukisyundou,1560480424683,62377,319,SUCCESS,62377
monao,1560491264865,62383,320,SUCCESS,62383
unvelked,1560407721617,62395,321,SUCCESS,62395
yudai,1560697113142,62400,322,SUCCESS,62400
Horizon,1560860073268,62400,323,SUCCESS,62400
gooooo,1560351988032,62417,324,SUCCESS,62417
Yasuo,1561705616037,62427,325,SUCCESS,62427
V-Racer,1560877029122,62432,326,SUCCESS,62432
nishino88,1560092876155,62434,327,SUCCESS,62434
hsiegeln,1561713707247,62454,328,SUCCESS,62454
pentilope,1561853754640,62477,329,SUCCESS,62477
Chase,1560023826768,62479,330,SUCCESS,62479
tricar,1560676047349,62490,331,SUCCESS,62490
NekoCat,1561755719590,62503,332,SUCCESS,62503
Chopper-racer,1560443828728,62509,333,SUCCESS,62509
sekai-no-nabehiro,1561090868343,62511,334,SUCCESS,62511
jbl4232000,1560390535232,62512,335,SUCCESS,62512
RomanRacer,1561131288997,62516,336,SUCCESS,62516
Yasu-Matsu,1560140209079,62522,337,SUCCESS,62522
TWPanda01,1560563129813,62525,338,SUCCESS,62525
motoyuki,1560325351139,62533,339,SUCCESS,62533
CerberusV,1560480315696,62539,340,SUCCESS,62539
