Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Jodder,1573850315557,35268,602,SUCCESS,35268,6376c169a8a54ab696ff3d3ba2034a48
Tiffin,1573255487672,35304,603,SUCCESS,35304,801ba8c95188464c965a48977c8ca732
SurajP,1574394200815,35347,604,SUCCESS,35347,cb93f157df85429c9117c9ac6b4756b2
haid-DENSO,1573101435434,35747,605,SUCCESS,35747,e4e67f82e3e94128bf2d4635644d47c6
SebOnGin,1573933372560,36195,606,SUCCESS,36195,17c0051cb7e84c1995ddc0a7f0c54c27
MZ1ST,1574274766637,36309,607,SUCCESS,36309,dda39409ab1943d8be16dc6e65134eec
DNITS-SYS5-SUGI-20191010-1925,1573014128787,36327,608,SUCCESS,36327,33ca00513a6e4086adf293ff9233c46a
too-slow-not-too-furious,1573191747703,36360,609,SUCCESS,36360,a3ef744980234645ace7d15400da196a
yusuke,1573724370333,36364,610,SUCCESS,36364,f590243025f1409cbe7fb09a541da275
ApolloMoon,1573060103426,36494,611,SUCCESS,36494,8ef56d227c60404eb4251e4e03a533b6
jin-frist-racer,1574273268966,36518,612,SUCCESS,36518,6f22a80ebe6e4e6596b08121ecec4c3a
Thunderbolt,1574631048695,36683,613,SUCCESS,36683,c71ae66d1fa94b6d8bab9fba3c9baa97
Mirum,1574794924898,36709,614,SUCCESS,36709,edb821b71cf448b98e09893d2bcdf60f
Beebots,1573040474379,36768,615,SUCCESS,36768,7a7ac31a51b84addab1bf65ca7bd1e94
LAB,1573230716102,37046,616,SUCCESS,37046,yVHZ8IjER6mdxKY_4ERkuw
MarcioMaiaAustin,1573758684787,37094,617,SUCCESS,37094,145896333dd34bb89172e44f2fd365dc
Reddevil,1574493916077,37229,618,SUCCESS,37229,ef9ba35991b247f2bdad2bb3d10624ad
BG-DR-RL-1,1573043303831,37380,619,SUCCESS,37380,733fe0c79a2d40268dd5a1e7b0692211
yaz,1574260542149,37581,620,SUCCESS,37581,2549ccba6bfe43ff98679600f0d6e96e
1-1114-0100,1573694971173,37608,621,SUCCESS,37608,3fc32591cce842df9d46598c81d488da
BlackFireMX,1573607506814,37756,622,SUCCESS,37756,d541447656114b83a256c613bc4f7b6b
prueba,1573677448446,37783,623,SUCCESS,37783,806ab15ef0b6431c8e6b979e26b63c6c
YNWA-Racr,1573061726040,37883,624,SUCCESS,37883,f022865299d04996874c91706236d837
jschwindt,1574380478139,37909,625,SUCCESS,37909,8e306611f255478eb3a92b138858dc0b
AndersonNelson,1574311674896,38002,626,SUCCESS,38002,d12e73d8b9044b9cade8e2b9ff617c6f
BikFWDeepRacer,1574848576529,38167,627,SUCCESS,38167,0f4a152c405d4e4cb5f90f6901356cea
Rao,1574117074139,38948,628,SUCCESS,38948,086503b8c609428180b1ef38cfa09f66
cinnar,1573736951405,39031,629,SUCCESS,39031,a1ba661353a7400d9a160da8559b4cd0
cbd,1574992816710,39403,630,SUCCESS,39403,361f13867cd541ea8568e2cc693d4db6
btown,1573098553787,39512,631,SUCCESS,39512,UCkleM2KR_6mIo5V90S9WA
puradravi,1573544594169,39613,632,SUCCESS,39613,bc7b6bdfd0664fefa26b1e5655176a64
Koji,1574141999613,40238,633,SUCCESS,40238,c70a266b32934267aa4993b90a3de6c1
vincent42Paris,1574950336287,40364,634,SUCCESS,40364,mRBqxlKaQ4S2FXvP2uDwHA
BhumilMehta,1575018321114,40540,635,SUCCESS,40540,dafd1987b922434b953b212cad29b15c
secretSource,1573777281622,41088,636,SUCCESS,41088,1044d246a0004556921e89e62f5aa90e
LoftRace,1574272927385,41266,637,SUCCESS,41266,1a29af1d3e764ccbae12be0ef94bc37b
mak,1574277242128,41561,638,SUCCESS,41561,b2c3a5d99f5d4a0b9754df7c821c9266
CurtisD,1574256984523,41775,639,SUCCESS,41775,80532a1fda2b460ead08e834c41d0315
Silaki,1573908678599,41972,640,SUCCESS,41972,05ba1f05ab024435b550878399202d56
akirmak,1573200826323,42145,641,SUCCESS,42145,UZAU1k92StKHmz-pEF128Q
Newontrack,1574292490794,42288,642,SUCCESS,42288,51d4b5c90d1e45cd862d01d7d30e976b
HyperSimple-3-OnDiversityBackwards,1574291299599,42385,643,SUCCESS,42385,16dc59bc16ee4e3fb11ea7592324c029
2DsDeepRacer,1573680978577,42441,644,SUCCESS,42441,cec91100f7424001894977153efba2ce
PhatludiModiba,1573725193483,42521,645,SUCCESS,42521,6b06b0a95e4f421e8b675c0c9dcc13d0
TurboCrash,1573816752176,42611,646,SUCCESS,42611,9ee41647d75c4830a39c532045f98eab
test20191112,1574298517167,42718,647,SUCCESS,42718,W5B1thl0QTKibz97fXOfNA
Aziz,1573764717682,42788,648,SUCCESS,42788,8e6d1cb10fb64980a29e42efebcd6250
Brallen,1573669986443,42964,649,SUCCESS,42964,e6d7916155c14612877f8a265b51e62e
