Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
mgk,1555571773620,21010,65,SUCCESS,21010,7f73b2b39b7141118c370a1fc409247e
NAB-Amith,1556530646667,21549,66,SUCCESS,21549,09baf16bc94b4a2d8a42dc4d6de2d4fe
deepguard-power,1556084779620,21774,67,SUCCESS,21774,d4904a30c31b4d2b8b8f39f51b2d8e66
emunoz,1556204308801,21968,68,SUCCESS,21968,b72bef19b87e4ee38476ffe5cc751611
pradeeep-s-naulia,1556513475059,22063,69,SUCCESS,22063,29bf1daa57674fe9b67ac2833d813925
Deep4Drive,1556436974925,22141,70,SUCCESS,22141,f1bd9aaffd5641d0846994338c350dc9
netbomb,1555720818152,22235,71,SUCCESS,22235,c38d507b297c4b61acd8ff85bb3955db
GT-Racing,1556297872490,22290,72,SUCCESS,22290,w9zvXqmyRFWjHCr1e_v0-g
neibc,1556413988782,22371,73,SUCCESS,22371,80886b5506ed4127910fb65603afdb4f
RoboRick,1555618840749,22562,74,SUCCESS,22562,7248c7103e064ad983fc014a06aee6c9
jaeeeee,1555651061355,22705,75,SUCCESS,22705,cfd55f714b4a470d97ba48f681e9c96d
Pueue,1555563814726,22753,76,SUCCESS,22753,42871a903859496ea3540a54568b1de2
jaypark,1555838465648,22805,77,SUCCESS,22805,2c6e37d86bfc4c93b1c67476f55daddd
evan-park,1556407346627,22983,78,SUCCESS,22983,7885a4f243c74aecb2d8ee9c202c3893
PraveenJ,1556298553099,23081,79,SUCCESS,23081,45a060c65c2c4a8db2cbc2d993cf8065
erlang,1556548185616,23177,80,SUCCESS,23177,74ae34f0834a44dc8125745ad473dd4c
gallahadd,1556115228426,23188,81,SUCCESS,23188,43125603808947318ef3d99cfa45c1be
offtrack,1556470087607,23516,82,SUCCESS,23516,8f099850dcae4484a8f7070735bfc63d
MedcRacer001,1556335311290,23710,83,SUCCESS,23710,ccad3d3ba43d4d919fb9a3251f455a81
DefenderDude,1556197181950,23738,84,SUCCESS,23738,a855276e4a0542138f3feceee7dfa651
zergling,1556156200117,23846,85,SUCCESS,23846,0ca61df0bae94720be781e7799a186f7
hung,1556392932606,23846,86,SUCCESS,23846,926c49d0473a4bea94f43646c7e9646d
Agni,1556461743935,24069,87,SUCCESS,24069,b6805910b34247f8a626f3d08a67b918
GoodmanKR,1555688190141,24249,88,SUCCESS,24249,f905b742ca594aadb529eeab54e1721f
lee-ver1,1555651198246,24255,89,SUCCESS,24255,8b02958646384bebb03f3c9d69f2e2d2
F99,1555670162548,24418,90,SUCCESS,24418,aa2a706458e94db3b39ec7f88d75e7bf
JH,1555575546730,24744,91,SUCCESS,24744,8873603fed5a4774ba70e146113e4fb1
roel,1555521793359,24989,92,SUCCESS,24989,ff28670d8a2947e9a9c1e335ca4489a6
stas,1556492962649,25160,93,SUCCESS,25160,3de6014bee8e48f19577d055871fc5ed
andrewguy9,1555954488723,25168,94,SUCCESS,25168,f3816f053f36464c9f802975e2873bf8
Corey,1556199588912,25216,95,SUCCESS,25216,cf81fb04baec4e009b11e2bd36e77d1f
clp-takekawa,1555767962204,25272,96,SUCCESS,25272,643e30f3f32f4797a5f1bf65c0e8691c
coldblaze,1556031528013,25384,97,SUCCESS,25384,ce9ebb3c31ae40dbb928374287c9996b
ivedw,1555593719854,25551,98,SUCCESS,25551,b4d5a83717f54f148f6fb8f9f5dfd6c9
Jiyang,1555971568386,25706,99,SUCCESS,25706,516831e038614a0795f9ac6a97fcc382
taymcn,1555552995869,25734,100,SUCCESS,25734,042f189f8cfc4a999f49b93f22f58555
nature,1555770928220,25738,101,SUCCESS,25738,e885dfe7530e4c1c86e9c450367e5705
pyy,1555596476487,25741,102,SUCCESS,25741,3eb699d2d88147d4867ec2ca02ce4a7d
ltlkodae,1555594393328,25832,103,SUCCESS,25832,add6295836694007acba1ab19c7740bf
LuckyDogNC,1556334378434,25914,104,SUCCESS,25914,3e1fc8ebd8cc488286551ceee261d1ad
Onnovator,1555536640738,26028,105,SUCCESS,26028,076042a0e89a4f62b102c1cc45cc0eee
mcflyhalf,1556276496686,26100,106,SUCCESS,26100,39fd82b8140845f3bef0b063bc70ca23
MacBear,1556351426428,26221,107,SUCCESS,26221,6351a82fad6f45a29a6ec800e7a03eee
me,1556049680625,26725,108,SUCCESS,26725,11c5cefd913d4ac9b6408fc4f4a4eaca
cuberacer,1556283269104,26945,109,SUCCESS,26945,5c65a6384b8a4f0fbb95f852ef662dac
neibc96,1555936642812,27746,110,SUCCESS,27746,3795133ab8064c008762f2b44014357d
Halfy,1555578363876,27892,111,SUCCESS,27892,f88450cd94724b6595b6a8e8ffd15730
jayden,1555914812722,27968,112,SUCCESS,27968,a87323e2d37748c686f8d7e659d844aa
MartyMcFly,1556461184125,28020,113,SUCCESS,28020,961d6784eec743799c8f9b0d1164fda1
Tom33,1555528149660,28834,114,SUCCESS,28834,1f2d27f2e653443db6af65a8604e818f
