Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision
Maikel,1617918670871,1,38589.0,38589.0,136299.0,2.0,4,2,6,0,1,SUCCESS,38589,OPEN
RobinCastro-DBS,1617927637203,1,40925.0,40925.0,134525.0,1.6666666666666667,5,0,5,0,2,SUCCESS,40925,OPEN
JPMC-DriftKing,1617894070718,1,41887.0,41887.0,137242.0,1.6666666666666667,4,1,5,0,3,SUCCESS,41887,OPEN
Joffe,1617922422583,0,,,,0.0,0,0,0,0,4,SUCCESS,9223372036854775758,OPEN
