Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Karl-NAB,1559337281380,9739,1,SUCCESS,9739,4vOOxLIsSjeL2WFaO5o_fQ
Fumiaki,1559344168775,10477,2,SUCCESS,10477,5RzBNYRAQoWVausi3eyhRg
hiroisojp,1559283175274,12328,3,SUCCESS,12328,_0ZNctRRQz2bXTbPUszW1Q
Etaggel,1559072409146,12363,4,SUCCESS,12363,BwHxax8oR-e8kzZqNd5_Sw
RayG-DBS,1559095294975,12388,5,SUCCESS,12388,YNrvM9f5RteeSrCl7oFC5w
nalbam-me,1559025310226,12401,6,SUCCESS,12401,PnRru4vBRkeyT4xX6LOCtw
mogamin,1559306739907,12426,7,SUCCESS,12426,w_Y5mt1vSTuvUJfW5G9bUw
Breadcentric,1558119049031,12522,8,SUCCESS,12522,SjNec5b-SpOk7y9b6rh4KQ
ABaykov,1559013024785,12561,9,SUCCESS,12561,aa28j7SWTd-LxMzvFoj_bA
Richard-Fan,1558788597738,12667,10,SUCCESS,12667,oxm3h2AtTpGqAnGZ4vzYpg
Kire,1558027008436,12727,11,SUCCESS,12727,N0y9CR6fQN-a4UlAFsTC5Q
mura,1558693736377,12781,12,SUCCESS,12781,SZrO5d1sQmemxPxBPska_g
Robin-Castro,1559091217729,12878,13,SUCCESS,12878,qaH8R2-8TlG79mslpdPfGg
nero-DNPds,1559096585713,12914,14,SUCCESS,12914,fdqnbHDPSbKcnf8kE5xuMQ
ZivHsu,1559345486360,12940,15,SUCCESS,12940,Na5iYWG-SNmNOFGcUo9Pxw
Sola-DNPds,1559297354895,13388,16,SUCCESS,13388,qH2hI69YTQGTOyWa15PW3w
Jochem,1557330054990,15221,17,SUCCESS,15221,RBPhZc5eTVmEF_gpSV7skg
kimwooglae,1559314784706,19612,18,SUCCESS,19612,bOqKo-ebR_essdUaZVGO4Q
Alex-Schultz,1558873728542,22007,19,SUCCESS,22007,rTBRi4_hQXW0hS5_UhvOFg
RoadRunningDevil,1559022485450,25707,20,SUCCESS,25707,RcPv3Xg9RCKsJIJH3UcXPQ
Ooiean,1557534113673,27444,21,SUCCESS,27444,uMkh4o8WThOHzXS3S015ew
maestrodigatto,1559304825910,29431,22,SUCCESS,29431,zzphb-pJRKixPFNl5_nzWg
AGLRacer,1556871799407,30591,23,SUCCESS,30591,GZxBP9aZQpezEsadKUJmeA
JPMC-London-Adam,1557239412149,32647,24,SUCCESS,32647,MKyQktY7RcKa36uMHbmmJQ
Showheyhey,1557548826362,33749,25,SUCCESS,33749,CGNIjT51QgaxmDtwGSiqpw
rodzanto-Antonio-Rodriguez,1556922679861,34477,26,SUCCESS,34477,U-LEhlqQSKK0xxvcYo6w3A
canary,1558746755324,37708,27,SUCCESS,37708,LLcCQI42QVGeCZtaI-gwUw
DigantPasawala,1557519169219,76874,28,SUCCESS,76874,hWQJXWsjSvCL-Mh2d3M2CA
DeepRacerDemo,1557123970301,77341,29,SUCCESS,77341,RmbH3d7EQiSvF4_uMWGhHg
JW,1559332670683,77428,30,SUCCESS,77428,ZMG_l-eWQvKDlZhGC4EzoQ
ygwu,1557105996504,111957,31,SUCCESS,111957,6OGmBRsRQuGeV8gWwOsSEw
chrisf1,1558367009353,112246,32,SUCCESS,112246,3ZrSF8j1QCuYNxFXoxl3RA
hi,1557057465630,117373,33,SUCCESS,117373,DKxBXGgoQeC6aVAa5Ux4tg
SAR,1557982532499,118482,34,SUCCESS,118482,aTbwqw5uQZO1TLGLpGB9Jg
