Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
Chozan,1585465800204,3,72689,61812,218068,10.0,0,30,30,1,491,SUCCESS,218068
KhoaCar99,1584336440240,3,73131,69836,219393,1.3333333333333333,0,3,4,1,492,SUCCESS,219393
tecpeopleT1,1583701147186,3,73296,70794,219890,4.333333333333333,0,13,13,2,493,SUCCESS,219890
KCS,1585179299548,3,73515,68641,220547,2.0,0,6,6,1,494,SUCCESS,220547
machzender,1584271397022,3,73613,68528,220839,1.3333333333333333,0,4,4,1,495,SUCCESS,220839
CH-Wong,1584594060775,3,73948,69928,221846,2.6666666666666665,0,8,8,1,496,SUCCESS,221846
adventurenerd,1583781817167,3,74112,69983,222337,1.3333333333333333,0,4,4,1,497,SUCCESS,222337
SolkaDeepRacer,1583691815070,3,74124,72441,222372,0.6666666666666666,0,2,2,1,498,SUCCESS,222372
Eval2,1585532122324,3,74486,71416,223458,3.0,0,9,9,4,499,SUCCESS,223458
DrFieldhouse,1584719781039,3,74510,71225,223531,3.3333333333333335,0,10,10,4,500,SUCCESS,223531
Kido,1585360967598,3,74667,71968,224002,1.6666666666666667,0,5,5,5,501,SUCCESS,224002
DaVinci,1584621271666,3,74806,73358,224420,19.666666666666668,0,59,59,4,502,SUCCESS,224420
teset,1583285439628,3,74902,74333,224706,0.0,0,0,0,2,503,SUCCESS,224706
Alex2,1583514282899,3,75456,73605,226368,0.0,0,0,0,2,504,SUCCESS,226368
16032020,1584348322486,3,75502,72016,226507,1.6666666666666667,0,5,5,1,505,SUCCESS,226507
qweqwe,1585059027383,3,75569,73960,226709,2.3333333333333335,0,7,7,1,506,SUCCESS,226709
akkarace,1583228626439,3,75693,74670,227079,1.6666666666666667,0,5,5,2,507,SUCCESS,227079
kimbring2,1583584663215,3,75866,73717,227598,16.333333333333332,0,49,49,2,508,SUCCESS,227598
CardinalHealth-EA-League,1584896781520,3,76235,66659,228706,6.333333333333333,0,17,19,2,509,SUCCESS,228706
RenaissanceLearning,1583863423105,3,76276,73316,228829,2.0,0,6,6,1,510,SUCCESS,228829
race2020,1585229459321,3,76393,75586,229181,2.0,0,6,6,4,511,SUCCESS,229181
dhambrick,1584126603525,3,76540,73572,229620,4.0,0,12,12,2,512,SUCCESS,229620
piqwudnfvpqiuoewnvpqeiurngvpqieunvpidjfnvqer,1583246743228,3,76572,74217,229716,1.3333333333333333,0,4,4,3,513,SUCCESS,229716
Jwala,1583365501308,3,76726,75119,230178,20.333333333333332,0,61,61,1,514,SUCCESS,230178
rrsg,1583717194310,3,76834,74878,230504,0.0,0,0,0,1,515,SUCCESS,230504
rehome,1585389556737,3,77395,75013,232186,0.6666666666666666,0,2,2,1,516,SUCCESS,232186
RedShift,1584460191302,3,77484,73902,232454,1.0,0,3,3,5,517,SUCCESS,232454
LaCremme,1585628445917,3,77640,73439,232922,1.6666666666666667,0,4,5,1,518,SUCCESS,232922
Shem,1583251390849,3,77711,76125,233133,0.6666666666666666,0,2,2,2,519,SUCCESS,233133
ST1,1584225292955,3,78288,77729,234866,0.3333333333333333,0,1,1,2,520,SUCCESS,234866
KDE,1583406020528,3,78368,75524,235106,18.666666666666668,0,56,56,3,521,SUCCESS,235106
ttest1,1585531886154,3,78506,75542,235519,0.3333333333333333,0,1,1,2,522,SUCCESS,235519
GRBIOS,1584257631402,3,78625,77604,235876,3.0,0,9,9,2,523,SUCCESS,235876
BiggiSmallz,1585346890621,3,78687,77027,236061,0.6666666666666666,0,2,2,1,524,SUCCESS,236061
AWS-NextGen-Agera,1583713032599,3,79048,76481,237144,19.666666666666668,0,59,59,1,525,SUCCESS,237144
pushpakViman,1584685468582,3,79227,77640,237681,1.6666666666666667,0,5,5,1,526,SUCCESS,237681
mhoriguchi,1583488670994,3,80615,76080,241846,22.666666666666668,0,67,68,1,527,SUCCESS,241846
memsracers,1584777377527,3,80640,77865,241922,11.666666666666666,0,35,35,1,528,SUCCESS,241922
KC,1585069548077,3,80671,77162,242013,0.3333333333333333,0,1,1,3,529,SUCCESS,242013
simat,1583472115307,3,81158,76201,243476,11.0,0,32,33,2,530,SUCCESS,243476
sperlmutter,1583933844904,3,81194,76885,243582,3.6666666666666665,0,11,11,1,531,SUCCESS,243582
CrazyIvanTeam,1585660648007,3,81491,78126,244475,9.666666666666666,0,29,29,1,532,SUCCESS,244475
lally,1583249887952,3,81824,79375,245473,15.333333333333334,0,46,46,2,533,SUCCESS,245473
lab306,1583822795185,3,82423,76861,247271,7.333333333333333,0,21,22,1,534,SUCCESS,247271
BMSP1,1584982100843,3,83000,81051,249001,4.666666666666667,0,14,14,2,535,SUCCESS,249001
Adam,1584972436049,3,83770,80570,251310,26.666666666666668,0,79,80,1,536,SUCCESS,251310
Jimbot-0-01,1585679228562,3,83847,82295,251542,1.0,0,3,3,3,537,SUCCESS,251542
V-rush,1585609392441,3,84050,73764,252152,2.6666666666666665,0,8,8,1,538,SUCCESS,252152
Shymon,1583929648526,3,84080,81975,252241,11.0,0,33,33,1,539,SUCCESS,252241
Gundam,1585583654997,3,84153,83344,252461,1.6666666666666667,0,5,5,1,540,SUCCESS,252461
gfgfgfdgx,1583506110558,3,84212,80636,252636,0.3333333333333333,0,1,1,1,541,SUCCESS,252636
kartikm4023,1583391176517,3,84314,83128,252942,9.333333333333334,0,28,28,1,542,SUCCESS,252942
sri435,1584153284410,3,84625,82219,253876,1.0,0,3,3,2,543,SUCCESS,253876
