Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
TabletDiff#2065,1677147418163,3,60136,55744,180409,10.333333333333334,0,31,31,4,702,SUCCESS,180409,bcLtL_UbTRq2yCUFXhFR1w
TeamBlaze-Eason,1675668917921,3,60154,53862,180462,8.0,0,24,24,10,703,SUCCESS,180462,xth-B1E6RdinuskwHA3T1g
t-sudo,1676437444313,3,60157,53936,180472,4.666666666666667,0,14,14,5,704,SUCCESS,180472,MC1xVObcR-y7QXygfe-9Ww
EDIARoadsters,1676971729632,3,60197,58196,180593,5.666666666666667,0,17,17,3,705,SUCCESS,180593,vPWXY8YFQgCNWDlMx575Mg
GlobalTheory#2863,1675347496359,3,60197,58998,180593,3.3333333333333335,0,10,10,5,706,SUCCESS,180593,DwHyZmSvRqaB0mWy6ntUQA
Elakiya,1677510510253,3,60209,57185,180629,9.666666666666666,0,29,29,9,707,SUCCESS,180629,f0yPBKziRIK-QQfqVkjM2A
BackloggedSpec#7585,1677391128677,3,60230,49071,180690,8.0,0,24,24,6,708,SUCCESS,180690,YXvbSiIrSKKWssK5Nu3DnA
MachineBreaker#1013,1675711416536,3,60242,59123,180728,3.3333333333333335,0,10,10,7,709,SUCCESS,180728,gpcx-UrcSwugn2mCurNhRQ
UnboundArgument#3889,1677218639758,3,60305,57792,180916,8.0,0,24,24,3,710,SUCCESS,180916,bjsEEvk7RvmfcqLcJ6buyQ
SolvableBraces#4276,1676303121269,3,60307,57324,180923,3.0,0,9,9,1,711,SUCCESS,180923,fSzyeroMRD2rlfKwFi0vqg
InteractiveDataset#0123,1677044034611,3,60308,56328,180925,9.0,0,27,27,5,712,SUCCESS,180925,7fY2V1dxTd2rrWT-Tb0AQQ
Uday-404Notfound,1676963107781,3,60317,46019,180953,9.0,0,27,27,4,713,SUCCESS,180953,eWSPBcinSrO-3Mm5LCcOJw
NumericMetaclass#2482,1676949534176,3,60330,57195,180990,7.0,0,21,21,6,714,SUCCESS,180990,KoO0HDDvR4qYCaI068za0g
HigherScope#8216,1677108432162,3,60353,58202,181060,5.333333333333333,0,16,16,1,715,SUCCESS,181060,1MP8i4tpTtaMY9bN9WNlBg
GammaValue#Nb,1677559243513,3,60397,57862,181193,5.666666666666667,0,17,17,1,716,SUCCESS,181193,7GLnQqbLQdaPWoPUp5yH_g
CriticalNotation#4669,1676908610252,3,60420,59200,181261,8.333333333333334,0,25,25,1,717,SUCCESS,181261,4h-3a6jPRvqvUz5mypgtBw
HW-Fuueikou-114,1677057557363,3,60440,58596,181321,7.666666666666667,0,23,23,28,718,SUCCESS,181321,krD7cfemRhKSJPP2P3FA1Q
Team3-Clive,1676453213202,3,60463,55395,181390,9.333333333333334,0,28,28,11,719,SUCCESS,181390,cR9Xw2kyTn2ilAJNHn6NTg
FunRacer-MM,1677613532812,3,60531,57797,181594,8.666666666666666,0,26,26,7,720,SUCCESS,181594,VHG75106QkWlrVA8OBBl9A
onlythree,1676864746473,3,60532,54466,181596,8.666666666666666,0,26,26,1,721,SUCCESS,181596,23e254b25ea0443389ed6w
AlphaDelta#3488,1675441244112,3,60554,50791,181663,10.666666666666666,0,32,32,3,722,SUCCESS,181663,xttcyC1DR2iBzq3FQgkFjg
ELITE-SQUAD,1677521808934,3,60594,56998,181784,10.0,0,30,30,2,723,SUCCESS,181784,sfXAW5TVQsueBSCGU3CN0w
LeetRacer#6104,1677058114503,3,60687,50868,182062,8.333333333333334,0,25,25,3,724,SUCCESS,182062,2ilI-pezTmuBo-LQ2ULThg
EmilyOda,1676407420716,3,60689,59532,182068,7.333333333333333,0,22,22,2,725,SUCCESS,182068,3vxzV0WQTjaWC2sYUapGfA
LeetEnvironment#6384,1676420674184,3,60714,56342,182143,4.333333333333333,0,13,13,3,726,SUCCESS,182143,DRc8dsOnQSq5PLoOY9JnGw
AlexM,1676407272112,3,60760,57484,182282,4.666666666666667,0,14,14,4,727,SUCCESS,182282,ZHJToV4MSqiyt9BRMGLnwA
QualifiedArithmetic#5018,1676891901780,3,60764,54877,182294,1.6666666666666667,0,5,5,1,728,SUCCESS,182294,Y1BsmnWbQVKCE0IquaT1OA
ImmutableCoder#4998,1675307069103,3,60774,57199,182323,7.666666666666667,0,23,23,3,729,SUCCESS,182323,_G0tC1ZkRA-oVYLEGSMYoA
GreaseMonkeys-Chetan,1677048215357,3,60776,57061,182329,9.0,0,27,27,8,730,SUCCESS,182329,K74Rk0XnTCOsNOsz5-UBWQ
AhsanGill2479,1676719342711,3,60821,60530,182463,6.0,0,18,18,6,731,SUCCESS,182463,zjx5P4jQTHSfaq8jyfPkeA
FormulaicScript#3853,1675827887172,3,60829,56069,182487,1.3333333333333333,0,4,4,19,732,SUCCESS,182487,4hNoTlyIT7CcfgHBOhEORw
MANOJ-MAHA,1677592658317,3,60841,57997,182525,6.0,0,18,18,1,733,SUCCESS,182525,uYHeZd74Qaik9QODQPrbYQ
JLLteamB,1677567730084,3,60891,53202,182675,10.0,0,30,30,4,734,SUCCESS,182675,n1eQijzUQl2IlfaaPR9_Bg
FastandFuriouSSH-Karol,1675402960234,3,60909,59524,182729,8.333333333333334,0,25,25,4,735,SUCCESS,182729,rVpFVRBvTVyM8XSxkBz3Ow
BetaNode#4061,1675340678367,3,60912,59795,182736,4.333333333333333,0,13,13,4,736,SUCCESS,182736,q-7UEqolRhOK_7phTTFJnw
QualityNode#9094,1676900677313,3,60913,54807,182741,3.6666666666666665,0,11,11,4,737,SUCCESS,182741,Go_a85wbQza6gS91DTckvA
jinga,1676286366894,3,60933,56131,182800,9.333333333333334,0,28,28,9,738,SUCCESS,182800,FjB2uMacQQ6wOm4V7FUqQg
kimchybob,1675733857524,3,61006,56730,183019,9.333333333333334,0,28,28,7,739,SUCCESS,183019,39FVx5h8Tp6OrDguyzFAyA
AgileUpgrade#4400,1675642946930,3,61019,53201,183059,11.0,0,33,33,2,740,SUCCESS,183059,CAcsudkmSQWGTGjwXuGWQw
AtomicDelta#5168,1676532762053,3,61063,60925,183191,0.0,0,0,0,1,741,SUCCESS,183191,fgmU3yB1Ssa3zpq3yMV6iA
DraftExpert#6447,1676313019764,3,61131,60604,183395,0.0,0,0,0,2,742,SUCCESS,183395,ut0TEHo2Su-cM21vPcCjUg
BrainyConsole#7999,1677272155994,3,61133,59802,183399,1.6666666666666667,0,5,5,20,743,SUCCESS,183399,CTiNrBfVStSy6yRmTBGxGg
PythonCommand#7691,1677533954161,3,61137,55667,183413,3.3333333333333335,0,10,10,1,744,SUCCESS,183413,Kc4TlJZ4TyCzWKyM-WT4oQ
diP,1676365277405,3,61153,53194,183460,7.333333333333333,0,22,22,4,745,SUCCESS,183460,yhLYXFurSc-6te2onQe9Jg
BoogieTimeProductions,1675591945808,3,61159,53282,183477,8.333333333333334,0,25,25,11,746,SUCCESS,183477,MUyQlFafT0yFhQr1sApn9Q
AlphaBetaGamma,1677236947370,3,61177,56801,183533,9.333333333333334,0,28,28,4,747,SUCCESS,183533,Zb6c9741TRexizYHjJXZvQ
TechnicalDigit#1055,1677480019863,3,61203,58143,183609,8.0,0,24,24,3,748,SUCCESS,183609,Zwg0YKz6SYal5vbYUebnIw
FunctionalCoder#4780,1677509414590,3,61244,60729,183732,0.0,0,0,0,10,749,SUCCESS,183732,04sssZ6_Rkus0rk710gP2g
CompleteAttention#6938,1677032353377,3,61264,59533,183792,7.333333333333333,0,20,22,16,750,SUCCESS,183792,HANwkiWuQy-1rFav-W28SQ
FredZ,1676612851796,3,61266,58136,183798,3.6666666666666665,0,11,11,1,751,SUCCESS,183798,SolKLVG4Q82wcGBCJCuZBw
SequentialDeadline#5436,1677079567459,3,61287,55663,183863,6.666666666666667,0,20,20,6,752,SUCCESS,183863,498duRm5RUu-f_kAtUkeDQ
Sintekk,1677073284621,3,61291,59791,183875,0.3333333333333333,0,1,1,6,753,SUCCESS,183875,b6EVnXJXTUOL3o-42aob9w
IterativeConsole#2776,1677562863182,3,61333,59204,184000,0.3333333333333333,0,1,1,1,754,SUCCESS,184000,tloMznfJRY-gpNyDZE0yGQ
StarRacer,1677592595326,3,61373,61055,184121,0.0,0,0,0,4,755,SUCCESS,184121,zJ8UrtluTnu7Jb5MYG7oiw
BatJew,1677607639430,3,61396,61190,184190,9.0,0,27,27,1,756,SUCCESS,184190,mBYCbESBSbOFVmrZfaRDgA
