Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
piano,1577168246064,5619,1,SUCCESS,5619,UlhPeJD_R1mP1YVlotOxSA
JJ,1577741525120,8851,2,SUCCESS,8851,afdcX_4vRH6Ussd0mbg5LQ
satussy777,1576570545531,9371,3,SUCCESS,9371,IYaF6LtbRWmZE9xBm87JmQ
MattCamp,1576242792055,9672,4,SUCCESS,9672,9z8BN2mkSj-Dlb_Chg_0Hw
think,1577444542523,9849,5,SUCCESS,9849,IHHC4YftQLaMAs0VyXFJzw
GT-DevelopersIO,1576269325245,10145,6,SUCCESS,10145,8WSp4P7ZRn-jJgZLnugwkA
kimwooglae,1576475836685,10249,7,SUCCESS,10249,bOqKo-ebR_essdUaZVGO4Q
TRS-DR,1577548543201,10269,8,SUCCESS,10269,zMjLOJ-lQs-yFyRGAVIGeg
Kire,1576447523012,10739,9,SUCCESS,10739,N0y9CR6fQN-a4UlAFsTC5Q
MING-CHUN,1576489099189,10793,10,SUCCESS,10793,qoQoafc4RhGMzWx_fwBp4w
muzi,1576957857878,11590,11,SUCCESS,11590,-MRzonoQTti4O6q-Q7tYmQ
JPMC-HandsFree-London,1577743366650,11662,12,SUCCESS,11662,DZAYqyd-Tp6eE15IopWCgQ
DBro,1577237665613,12041,13,SUCCESS,12041,jEkEOpjZRhGUbyDZIfTo_A
ABaykov,1576032720903,12320,14,SUCCESS,12320,aa28j7SWTd-LxMzvFoj_bA
NewSpeed,1576579221553,12423,15,SUCCESS,12423,O6ueG2wYT6aD1Cv_Lnf-7g
Adam-H,1576101481057,13151,16,SUCCESS,13151,63LM4ZOGRmyM9GjZ-IVJgg
PolishThunder,1577717449001,14677,17,SUCCESS,14677,qi512oGVTry8V-KtP6j2_w
vincent42Paris,1576840824826,15521,18,SUCCESS,15521,mRBqxlKaQ4S2FXvP2uDwHA
Duckworth,1577742978755,16021,19,SUCCESS,16021,VIu9BQ4-Th6gUqu60ztwUQ
Merfoulis,1575709492226,16777,20,SUCCESS,16777,ZXo038NgQoikG6lL_A5fVQ
Wisdom,1575282929399,17498,21,SUCCESS,17498,VsRPXEYgQp63TXEsbtAF1w
RichardFan-dr,1577421547382,17651,22,SUCCESS,17651,oxm3h2AtTpGqAnGZ4vzYpg
Giacomo,1576517744748,18312,23,SUCCESS,18312,W0KfevJdRWiQfxwL4NH15g
peabody,1575572063260,19413,24,SUCCESS,19413,OS1o1KwcTW-cLHcOmU77gQ
DaveKafka,1577749158799,21194,25,SUCCESS,21194,leI4k1NoRiqsnOiU_XNlSg
Robin-Castro,1576190663500,27103,26,SUCCESS,27103,qaH8R2-8TlG79mslpdPfGg
DeepCajun,1575524661550,28007,27,SUCCESS,28007,5bk9sz8bTvC6rvs-PLm_eA
Qub1t0,1575950785674,32552,28,SUCCESS,32552,hC9hWzioQwifLmUR-_U1mw
A6ENTD,1575594036074,32934,29,SUCCESS,32934,77xQO-FjROmhOy7V5V_t8g
Srhastag,1576613401081,33589,30,SUCCESS,33589,OZ3GchkuRs6lMHvqrIESOQ
Ooiean,1576500603561,35368,31,SUCCESS,35368,uMkh4o8WThOHzXS3S015ew
cheese,1575960835638,35827,32,SUCCESS,35827,1FT6Pta0SCaVIAQ7Ui6Mag
UniKitty,1575441977892,35943,33,SUCCESS,35943,RV1ZogZ2R8ikaFwrSDg9bQ
Dang3rousRacing,1576856519373,38503,34,SUCCESS,38503,TaFMlTU1QXOBkZu9zSnAcQ
Slalom-Ilan,1575302236939,38782,35,SUCCESS,38782,-N_7jPsxQjGk_q-yhv8J0A
Magnum007,1576178073019,39021,36,SUCCESS,39021,ZPi4gkkoSRSIV5cbH6s6rg
tekgrl,1575327814542,40530,37,SUCCESS,40530,aJlzgk6tQj-dSVl6x6tERg
Mungi,1575554083522,42730,38,SUCCESS,42730,RgTvucbNQja7yiYbgh2p9A
none,1575306631772,59664,39,SUCCESS,59664,VOfh43ZrSNuDpuPfB4PVqA
Miltek,1576038637231,64810,40,SUCCESS,64810,4Dg07H40Q6OvrfR-Wq1ruA
TheKruk,1576011747641,65539,41,SUCCESS,65539,_BHtdYtmTZq3vLpw75lSEQ
PythonTester#2360,1577496777454,66967,42,SUCCESS,66967,JDDcSEMDSrK2LD75VUUP_Q
mcsnolte,1575304893785,68359,43,SUCCESS,68359,I418ytOXTmGRduNhETtByQ
RMITTLawrenceDR01,1576026876027,69096,44,SUCCESS,69096,sMBVJoSXQA2SchrPqWJxiQ
tk0627,1576719147137,70093,45,SUCCESS,70093,fx5TA-QMQrGO7P18u0BwRQ
mlundela,1575417970669,71004,46,SUCCESS,71004,t3JUPAUwSwixr5gqUqNZhQ
pxrao,1575313253150,71075,47,SUCCESS,71075,Cb1b_75XQH274FYujXbmog
unique,1575303832149,71147,48,SUCCESS,71147,EYAd9n2xT6eNxTqLPohzYQ
ilker,1575584447879,71165,49,SUCCESS,71165,b1zQ0avNRSOAsxO9AVTYFQ
sukrit007,1575306232817,72407,50,SUCCESS,72407,vuKszvVuS_KVTZ0abh94mg
gabe1,1575568253869,72596,51,SUCCESS,72596,sgSbpcLGTKS4Kb-e6e52Xw
Pit-tk-sm-5-17-Trail,1575481902396,72698,52,SUCCESS,72698,tTU2npzaRCiYPjL4zctG1A
GabrielM,1575305225814,72766,53,SUCCESS,72766,xWy704FkRlOFYrdS40kXOg
someleague,1575304178348,76375,54,SUCCESS,76375,3BD-CCCqSRyrqNl4OwalQw
