Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
F1-DevelopersIO,1601089826813,3,10391,9943,31175,0.0,0,0,0,220,43,SUCCESS,31175,UzQrKbzfSKyZCEf6eD2PBA,
hiroisojp,1601358125599,3,10401,9726,31205,0.0,0,0,0,1094,44,SUCCESS,31205,_0ZNctRRQz2bXTbPUszW1Q,
Oliver-H,1601238479875,3,10451,9735,31355,0.0,0,0,0,7,45,SUCCESS,31355,a47RSE7ERxS5tjPcetDN2Q,
Matt,1599330511605,3,10583,10001,31750,0.0,0,0,0,550,46,SUCCESS,31750,cVk-aYKdRUmuL0qmjyzmag,
DelfinoF,1601491958959,3,10601,10327,31803,0.0,0,0,0,34,47,SUCCESS,31803,bQKr3svgQSmvcraOZ76PkQ,
nadeerg-DBS,1600999569294,3,10607,9931,31822,0.0,0,0,0,10,48,SUCCESS,31822,Ue35peN6RfykZmJLSFDPJw,
st-ind,1601127816252,3,10670,9942,32010,0.0,0,0,0,35,49,SUCCESS,32010,s6Yvae1ETKy8HYUTEvTa0Q,
Pparker,1601238802419,3,10684,9805,32054,0.0,0,0,0,29,50,SUCCESS,32054,m7xyfmPhQf20r_T4Tq-p_w,
mellowmonk,1601092804063,3,10723,10275,32170,0.0,0,0,0,1433,51,SUCCESS,32170,29hQG1MHQbWGXmMmgvml7g,
SaiTeja-Cherukuri,1601056150494,3,10733,10407,32200,0.0,0,0,0,42,52,SUCCESS,32200,Bzd8ct_rQ8mDMKyvpZnSsQ,
Penguin-DNPds,1600403899261,3,10752,9997,32257,0.0,0,0,0,21,53,SUCCESS,32257,Nr3YCYWGTA631Xqa0uDPhw,
TokuchiT,1601486389210,3,10784,9999,32352,0.0,0,0,0,32,54,SUCCESS,32352,yFmHSonMTRGgUJUmt5_2hw,
tonyrob,1601128421842,3,10788,10655,32365,0.0,0,0,0,18,55,SUCCESS,32365,eSfbxUBkQCeKHvdR4RTsuw,
Speedy-Max,1601411759798,3,10808,9886,32426,0.0,0,0,0,31,56,SUCCESS,32426,DctW_k5bRjqeZOvUZ-6aRA,
fuchida-MAINICHI,1601486547618,3,10818,8818,32455,0.6666666666666666,0,2,2,187,57,SUCCESS,32455,HGiJghg0TqyXmMhVedqfRw,
Cindy-DBS,1600767894653,3,10915,8805,32747,0.6666666666666666,0,2,2,83,58,SUCCESS,32747,dkX_mR9zSYy9c2CprpaycQ,DBS
harvey-spec-ind,1601126086527,3,10919,9738,32758,0.0,0,0,0,35,59,SUCCESS,32758,9-9LNxZuQp-gQka_-cK2Og,
lancelot,1601302912546,3,10971,10604,32913,0.0,0,0,0,46,60,SUCCESS,32913,6tMC1AdCSECiiWWQFBoyKg,
HONG-IVE-CLOUD,1600515968946,3,11005,10739,33017,0.0,0,0,0,386,61,SUCCESS,33017,LTd2GBdbTmOrzTvAl0TR0Q,
nalbam-me,1599490466761,3,11014,10748,33042,0.0,0,0,0,1328,62,SUCCESS,33042,PnRru4vBRkeyT4xX6LOCtw,
Mark51,1601233259847,3,11015,9988,33046,0.0,0,0,0,8,63,SUCCESS,33046,-c1kg_3YS0GGon-EkqXrqg,
yoshida-sen,1601491963730,3,11090,10067,33272,0.0,0,0,0,23,64,SUCCESS,33272,mGVXv9TbTwCylYhXhfhknQ,
kageyama,1601152266647,3,11178,10378,33536,0.0,0,0,0,6,65,SUCCESS,33536,xLRC7ppzSbOovuGPJrPnRA,
