Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
harjee,1590933768513,3,90692,70192,272077,8.0,0,24,24,3,394,SUCCESS,272077
CardinalHealth-EA-League,1590113860510,3,90818,84604,272454,9.0,0,27,27,45,395,SUCCESS,272454
DAvocado,1590406492012,3,91008,88432,273024,0.3333333333333333,0,1,1,1,396,SUCCESS,273024
track,1590957469079,3,91051,86760,273155,0.6666666666666666,0,2,2,4,397,SUCCESS,273155
My-First-League-racer,1590474901236,3,91057,83333,273171,7.333333333333333,0,22,22,52,398,SUCCESS,273171
LC,1590626078277,3,91060,87878,273182,0.0,0,0,0,5,399,SUCCESS,273182
DeepWheels,1590499494816,3,91079,88221,273238,1.6666666666666667,0,5,5,1,400,SUCCESS,273238
DanielM,1589778132654,3,91207,84403,273622,2.3333333333333335,0,7,7,2,401,SUCCESS,273622
AdamB,1588898117752,3,91306,88907,273920,0.0,0,0,0,1,402,SUCCESS,273920
Penguin-DNPds,1590457000921,3,91334,77406,274002,9.333333333333334,0,28,28,4,403,SUCCESS,274002
robloxian,1589852808246,3,91395,85637,274187,1.0,0,3,3,2,404,SUCCESS,274187
KevinTheBabe,1588354839536,3,91753,87191,275260,0.3333333333333333,0,1,1,3,405,SUCCESS,275260
bladerunner,1589037182591,3,91869,90539,275609,0.0,0,0,0,12,406,SUCCESS,275609
Bo,1588526858950,3,92077,86564,276231,0.3333333333333333,0,1,1,8,407,SUCCESS,276231
ronaldo-rojas,1590796443795,3,92145,83689,276435,10.333333333333334,0,31,31,10,408,SUCCESS,276435
slowpoke,1590726716078,3,92222,87624,276667,8.666666666666666,0,26,26,19,409,SUCCESS,276667
evanca,1588837749263,3,92329,86267,276988,11.0,0,33,33,6,410,SUCCESS,276988
peppark-2-1,1589476231595,3,92342,90534,277027,0.0,0,0,0,2,411,SUCCESS,277027
SZFirstRun,1590164429883,3,92388,90777,277165,1.3333333333333333,0,4,4,1,412,SUCCESS,277165
Jas-Sandhu,1588571716689,3,92429,88840,277289,0.3333333333333333,0,1,1,9,413,SUCCESS,277289
json,1590248618036,3,92490,86788,277472,11.0,0,33,33,2,414,SUCCESS,277472
WSR,1588312582560,3,92660,89783,277982,0.6666666666666666,0,1,2,25,415,SUCCESS,277982
UCDR,1589493085031,3,92759,89394,278277,0.3333333333333333,0,1,1,7,416,SUCCESS,278277
Maylan,1589440361705,3,92774,91291,278323,0.0,0,0,0,3,417,SUCCESS,278323
mjracer,1589191541495,3,92790,90400,278371,0.0,0,0,0,3,418,SUCCESS,278371
HDSVII,1589473343293,3,92943,90741,278830,0.0,0,0,0,21,419,SUCCESS,278830
Dusty,1589855634511,3,93031,91114,279094,0.0,0,0,0,6,420,SUCCESS,279094
mjuras,1588753686968,3,93043,90235,279131,2.0,0,6,6,6,421,SUCCESS,279131
vsisquesc,1589538439091,3,93050,89268,279150,0.0,0,0,0,4,422,SUCCESS,279150
GT-Racing,1589420132662,3,93081,90781,279245,0.6666666666666666,0,2,2,59,423,SUCCESS,279245
Test01-azusawa-001,1589327163068,3,93300,86561,279900,8.666666666666666,0,25,26,164,424,SUCCESS,279900
Lily,1589127931849,3,93368,88900,280106,2.3333333333333335,0,7,7,2,425,SUCCESS,280106
Wisdom,1590930113783,3,93371,88218,280113,9.666666666666666,0,29,29,3,426,SUCCESS,280113
RayC,1590805430749,3,93399,89696,280197,1.6666666666666667,0,5,5,11,427,SUCCESS,280197
RCAI,1589172907158,3,93469,83697,280408,1.6666666666666667,0,5,5,7,428,SUCCESS,280408
AaronHan-DBS,1590755019250,3,93536,90407,280610,1.0,0,3,3,4,429,SUCCESS,280610
Swift-AWS-DEEP-RACER,1589358728325,3,93628,90506,280884,0.0,0,0,0,2,430,SUCCESS,280884
Ensono-The-Anthill-Mob,1589567405344,3,93660,79263,280980,9.666666666666666,0,29,29,1,431,SUCCESS,280980
Gr4yMatter,1589518266361,3,93703,89537,281109,0.6666666666666666,0,2,2,4,432,SUCCESS,281109
Chestie-DBS,1589344859460,3,93794,81168,281384,1.6666666666666667,0,5,5,2,433,SUCCESS,281384
caryden,1589813542195,3,93851,91821,281554,0.0,0,0,0,1,434,SUCCESS,281554
anvillasoto,1589735526012,3,93855,74259,281566,10.666666666666666,0,32,32,12,435,SUCCESS,281566
RyanC131,1589291189013,3,93878,84518,281634,1.6666666666666667,0,5,5,28,436,SUCCESS,281634
Cyinner,1590601719480,3,93908,88139,281724,1.6666666666666667,0,5,5,1,437,SUCCESS,281724
sciv2,1588852795319,3,93910,90598,281731,2.3333333333333335,0,7,7,1,438,SUCCESS,281731
chanathunder,1590857628440,3,94015,84558,282046,10.666666666666666,0,32,32,4,439,SUCCESS,282046
crazy-doctor,1590398779910,3,94033,88309,282099,1.6666666666666667,0,5,5,28,440,SUCCESS,282099
MaxApex,1589807082160,3,94046,89893,282140,0.3333333333333333,0,1,1,7,441,SUCCESS,282140
JackyZhang-DBS,1589885021407,3,94052,85644,282157,1.0,0,3,3,10,442,SUCCESS,282157
XH-DBS,1589454406648,3,94221,86527,282664,1.3333333333333333,0,4,4,2,443,SUCCESS,282664
Sind4rin,1590331661840,3,94246,88110,282739,0.3333333333333333,0,1,1,1,444,SUCCESS,282739
