Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Karl-NAB,1566905039892,8028,1,SUCCESS,8028,4vOOxLIsSjeL2WFaO5o_fQ
Breadcentric,1567118561031,8034,2,SUCCESS,8034,SjNec5b-SpOk7y9b6rh4KQ
ZivHsu,1567256707327,8567,3,SUCCESS,8567,Na5iYWG-SNmNOFGcUo9Pxw
Etaggel,1565317856430,8813,4,SUCCESS,8813,BwHxax8oR-e8kzZqNd5_Sw
GT-DevelopersIO,1566135016550,8824,5,SUCCESS,8824,8WSp4P7ZRn-jJgZLnugwkA
kimwooglae,1566776948720,9037,6,SUCCESS,9037,bOqKo-ebR_essdUaZVGO4Q
nero-DNPds,1566264482600,9296,7,SUCCESS,9296,fdqnbHDPSbKcnf8kE5xuMQ
think,1566467164098,9371,8,SUCCESS,9371,IHHC4YftQLaMAs0VyXFJzw
RayG-DBS,1566577277020,9379,9,SUCCESS,9379,YNrvM9f5RteeSrCl7oFC5w
Fumiaki,1565460812452,9409,10,SUCCESS,9409,5RzBNYRAQoWVausi3eyhRg
mogamin,1567248340724,9510,11,SUCCESS,9510,w_Y5mt1vSTuvUJfW5G9bUw
Keaton,1566364835705,9526,12,SUCCESS,9526,pqS3RXTyQXGkMiQtDw3xrw
Richard-Fan,1567106231152,9528,13,SUCCESS,9528,oxm3h2AtTpGqAnGZ4vzYpg
ShibaInu-DevelopersIO,1566737109744,9793,14,SUCCESS,9793,q3lEztDGTfSD-GgkF5IgTg
yamakawa-sec,1567081055393,9912,15,SUCCESS,9912,T8gcpZj0SRuAeFHneJDKNQ
Jochem,1566944328323,9966,16,SUCCESS,9966,RBPhZc5eTVmEF_gpSV7skg
nalbam-me,1565237574084,9996,17,SUCCESS,9996,PnRru4vBRkeyT4xX6LOCtw
Mentaiko-DevelopersIO,1567236645253,10004,18,SUCCESS,10004,Wt5C8BPAS0OPlzY3-txb-w
hiroisojp,1566790286563,10210,19,SUCCESS,10210,_0ZNctRRQz2bXTbPUszW1Q
Sola-DNPds,1565230862543,10283,20,SUCCESS,10283,qH2hI69YTQGTOyWa15PW3w
Kire,1566675441608,10581,21,SUCCESS,10581,N0y9CR6fQN-a4UlAFsTC5Q
DarkChocolate,1567174939342,10724,22,SUCCESS,10724,ROK8anfTQWqjqiA5F3p13Q
OneDudeDesign,1567019823921,10798,23,SUCCESS,10798,tLd0GWYiT0qzqq6YRFVXhg
Alex-Schultz,1565527543342,10860,24,SUCCESS,10860,rTBRi4_hQXW0hS5_UhvOFg
Yamada-PCI,1566105016972,10916,25,SUCCESS,10916,ybF99KZoTcWtex1zZFdiUg
Tricycle-NiftyLAB,1567132748569,11172,26,SUCCESS,11172,0QJuiEnUQRSzfwcN8yCM0A
ABaykov,1567295486525,11301,27,SUCCESS,11301,aa28j7SWTd-LxMzvFoj_bA
shivamgarg,1565513112680,11373,28,SUCCESS,11373,lcbTqvodQQafR4PKic6Ebg
Wasabi-DevelopersIO,1566166809702,11379,29,SUCCESS,11379,Fmb5j9UgQ_2xkleK0vwXOg
Deep-Racer,1567020590004,11380,30,SUCCESS,11380,zdoQv6lhRiOSs-n_0CSa9g
mayurmadnani,1567281966582,11395,31,SUCCESS,11395,hr8K12KMRhSIDUEJbQT8fg
JJ,1567258076687,11601,32,SUCCESS,11601,afdcX_4vRH6Ussd0mbg5LQ
D4D-test,1567071466112,11936,33,SUCCESS,11936,wzuB6MwPTY-__1cmWPjkFA
Michael-Equi,1565219694871,12027,34,SUCCESS,12027,MmwM7AH1SWCbIzg3Kg0Y4Q
Robin-Castro,1567232728636,12314,35,SUCCESS,12314,qaH8R2-8TlG79mslpdPfGg
Merfoulis,1567294768411,14147,36,SUCCESS,14147,ZXo038NgQoikG6lL_A5fVQ
Gradient-Racer,1566320479717,14165,37,SUCCESS,14165,iOKDB08cRA-XI-D6TA9KLw
JoeLeyba,1567189325897,14267,38,SUCCESS,14267,nzfVL37yS2G5OUkCQh7omQ
Deepak-dpk,1567270273429,14271,39,SUCCESS,14271,gDTBFK77TM6wD6uObZlulA
Jerec,1567283241041,14702,40,SUCCESS,14702,RH6ep-5mRmmVLqHClba8_Q
RagetemperRacing,1566955449341,14764,41,SUCCESS,14764,9-rQgKRQSR-x7yeAHUS2JQ
1llBeeBack,1566552735263,14772,42,SUCCESS,14772,pQiCJCQSSJKgs6ufE3Gx9w
Srhastag,1564721498622,14965,43,SUCCESS,14965,OZ3GchkuRs6lMHvqrIESOQ
TRS-DR,1567008305805,15079,44,SUCCESS,15079,zMjLOJ-lQs-yFyRGAVIGeg
CruzRamirez,1566231160327,15178,45,SUCCESS,15178,Zx_FEQUGTo-DLKNy6O2y-g
IVaibhavMalpani,1567187834931,16005,46,SUCCESS,16005,_FYdDXAnQEm7GFNTfKEWUA
PaulMR,1567285920437,16206,47,SUCCESS,16206,VoHUfxP_TkWMCSzfaWndRg
DEMSAI,1566501515531,16364,48,SUCCESS,16364,_jMEoaB7R0K3vEKHQC9Ovg
chilmeran,1567144274161,17375,49,SUCCESS,17375,s7kgtIlGRp6UC6khx61AxQ
Usin,1566826855873,17505,50,SUCCESS,17505,0U0AhasoQkySiJ1to8xBZw
acracer,1565952959318,17693,51,SUCCESS,17693,WLB53KonQzicY7cSbSUARQ
TaxiDeItera,1567078104081,17920,52,SUCCESS,17920,BUS5_qGNQmuzLnDH8GAAuw
peabody,1567134217877,18130,53,SUCCESS,18130,OS1o1KwcTW-cLHcOmU77gQ
NewSpeed,1567166989734,18503,54,SUCCESS,18503,O6ueG2wYT6aD1Cv_Lnf-7g
