Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
Jungho,1600567353175,3,82570,78521,247711,5.333333333333333,0,16,16,3,380,SUCCESS,247711,W-dX8o8ZSiGk67q7GOMPJA,
Demo01,1601454301734,3,82685,79446,248055,17.0,0,51,51,5,381,SUCCESS,248055,XaDWpf3zQEqZHiWOO7gGvA,
IsaacLeague,1601065223670,3,82706,82425,248119,1.3333333333333333,0,4,4,23,382,SUCCESS,248119,lDjeZWPaR3eQxd-ucHAwQA,
SlowNSteadyChoice,1600798321632,3,82835,80852,248506,0.6666666666666666,0,2,2,19,383,SUCCESS,248506,JMAYZoSoSpu4pl5-Ct9JJA,
MGJ,1600082806292,3,83029,78535,249087,1.0,0,3,3,2,384,SUCCESS,249087,-Ss9FVnKS02dxU_X_ncMuQ,
chrifane,1598964372987,3,83084,81556,249254,0.3333333333333333,0,1,1,3,385,SUCCESS,249254,votEgtwCSYOwzgGPyBJ9LQ,
fastest-DeepRacer-07y,1601277298319,3,83106,78508,249319,13.0,0,39,39,1,386,SUCCESS,249319,xFjGPrgMRomUVY-wMdABVA,
Artist007,1600417974165,3,83147,80879,249443,3.3333333333333335,0,10,10,2,387,SUCCESS,249443,fHMNTP6ZTKy-pnC63tqJyg,
StormRacer,1599758986250,3,83167,77995,249501,9.0,0,27,27,2,388,SUCCESS,249501,FvNHvrmgTDOU8GQpf3vLIQ,
SRHS,1599193823332,3,83246,82139,249740,0.0,0,0,0,2,389,SUCCESS,249740,f4cRVfX2RNSExbPKRb9CqQ,
trailracer11,1599982347752,3,83252,80966,249758,16.666666666666668,0,50,50,13,390,SUCCESS,249758,t19gt9h3Tr-8F0Q1iscE8Q,
JesseRacer,1600574052483,3,83369,75369,250108,21.666666666666668,0,65,65,6,391,SUCCESS,250108,KkT4GEviSqmWLRRs33tSOg,
CK-Run1,1599061527441,3,83429,79355,250289,21.666666666666668,0,65,65,2,392,SUCCESS,250289,msp2rkbWT5mBNVZc4i2rTA,
AsiaTurboSimRacingLeague,1600153740822,3,83566,81828,250698,1.0,0,3,3,1,393,SUCCESS,250698,YObR-YQBQei0PuFuRJJyMQ,
Hugh,1600838793593,3,83676,81458,251029,0.0,0,0,0,3,394,SUCCESS,251029,GAXuU_pQQk2WS6sk_zBRMg,
CRCFBT,1598994915909,3,83853,80588,251559,19.333333333333332,0,58,58,10,395,SUCCESS,251559,NzOhFVobSRyGJbIvIrYHjg,
TAZ12,1601029632445,3,84034,81344,252102,2.3333333333333335,0,7,7,17,396,SUCCESS,252102,7Yiz1exIRiWGATIR3Yja2A,
nambi,1598938762384,3,84051,82061,252153,0.0,0,0,0,3,397,SUCCESS,252153,jstK-lEmSMWZLMJ6aozACg,
Inakappe,1599449909646,3,84202,81391,252606,2.0,0,6,6,10,398,SUCCESS,252606,zvJ6QAc2SfuBpsxrDU1nsQ,
gregChambers,1599624332813,3,84380,83823,253141,0.6666666666666666,0,2,2,2,399,SUCCESS,253141,BULf3BedQ_Koxy0QigP5wg,
Racer86-DBS,1599052776626,3,84400,80812,253200,9.0,0,27,27,1,400,SUCCESS,253200,qvs0JLV0QUqof1jBTXukJg,
IKIGAI,1601107942603,3,84463,83385,253389,0.6666666666666666,0,2,2,9,401,SUCCESS,253389,fmAtbtwnSgeEoSPJCCvYeA,
TeamT-Rex,1599158079720,3,84483,81681,253449,2.3333333333333335,0,7,7,4,402,SUCCESS,253449,wKXxmpvNRzuR2F8XPLq6dQ,
MovesLikeJavaMakeAThon,1601076311713,3,84585,76073,253756,10.666666666666666,0,32,32,8,403,SUCCESS,253756,wky7kOwrQgSY-bzQWQud4g,
y7pd,1599065866288,3,84621,79130,253865,4.0,0,12,12,5,404,SUCCESS,253865,V2qztXtwRDG_MWfbOcMNbw,
Divya-DBS,1600861897333,3,84682,79672,254048,1.3333333333333333,0,4,4,2,405,SUCCESS,254048,pWm-t21ITUitm4bVX1JcXg,
Lightning-McQueen-Kachow,1599061894764,3,84698,75983,254094,23.333333333333332,0,70,70,1,406,SUCCESS,254094,UxnwvbObQs2Yc8y1kg82ow,
Ataotrial1,1600078699146,3,84701,84014,254104,0.3333333333333333,0,1,1,2,407,SUCCESS,254104,QS2QvjMdTFSkdPqQ_sO2Gg,
ineeve,1600441348412,3,84750,82379,254252,0.0,0,0,0,3,408,SUCCESS,254252,N1aLpgnBQMSt72fw5GdJsA,
SJ-Beijing,1599722536745,3,84786,81662,254358,0.6666666666666666,0,2,2,2,409,SUCCESS,254358,N3CP25-_QLmiL9mv3KHwVw,
