Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
Ever-Endeavour,1601964995209,3,111194,109805,333583,11.333333333333334,0,34,34,1,897,SUCCESS,333583
Group143,1602152634151,3,111337,102705,334011,14.333333333333334,0,43,43,9,898,SUCCESS,334011
Group74,1601969203091,3,111366,102816,334098,1.0,0,3,3,1,899,SUCCESS,334098
FIRacer,1603456100699,3,111558,105549,334675,3.0,0,9,9,1,900,SUCCESS,334675
Master-Shifus-Warriors,1601681154362,3,111588,103077,334766,3.6666666666666665,0,11,11,11,901,SUCCESS,334766
Group48,1601969748766,3,111592,101407,334778,5.333333333333333,0,16,16,1,902,SUCCESS,334778
SpeedTracer,1603487902046,3,111632,106197,334897,6.333333333333333,0,19,19,5,903,SUCCESS,334897
Group22-Hariharan,1603106617894,3,111658,106661,334974,7.0,0,21,21,1,904,SUCCESS,334974
wims123,1603826158384,3,111732,105209,335196,6.333333333333333,0,19,19,15,905,SUCCESS,335196
alphanso,1603290353354,3,111881,105864,335644,4.666666666666667,0,14,14,1,906,SUCCESS,335644
DeepracerDips1,1604141576510,3,111936,106339,335808,7.0,0,21,21,3,907,SUCCESS,335808
TU,1601659171470,3,111940,106920,335821,13.666666666666666,0,41,41,7,908,SUCCESS,335821
spartan0,1604098618444,3,111994,108210,335984,1.3333333333333333,0,4,4,1,909,SUCCESS,335984
RavenVT,1603459969529,3,112041,108657,336124,3.3333333333333335,0,10,10,1,910,SUCCESS,336124
PatioVonGrottenstein,1602165237452,3,112055,91390,336167,14.333333333333334,0,43,43,9,911,SUCCESS,336167
vboriso,1604089742061,3,112101,108050,336304,1.6666666666666667,0,5,5,1,912,SUCCESS,336304
Nakamura,1603863542812,3,112184,105200,336554,1.3333333333333333,0,4,4,2,913,SUCCESS,336554
demoRacer27oct,1603801121965,3,112193,103196,336579,3.6666666666666665,0,11,11,1,914,SUCCESS,336579
IamNotSquare,1602475404441,3,112235,107910,336707,1.6666666666666667,0,5,5,1,915,SUCCESS,336707
jerkdog1,1603656742842,3,112450,94201,337350,5.0,0,15,15,1,916,SUCCESS,337350
Atlanto,1601537645488,3,112479,100010,337439,5.333333333333333,0,16,16,8,917,SUCCESS,337439
lighting,1602695592291,3,112519,107703,337558,1.0,0,3,3,3,918,SUCCESS,337558
JOSHUA,1601789620494,3,112562,106751,337687,4.0,0,12,12,1,919,SUCCESS,337687
Smiky,1601920296744,3,112577,102933,337731,14.666666666666666,0,44,44,3,920,SUCCESS,337731
IshanBA24,1602568531908,3,112578,101593,337736,6.0,0,18,18,8,921,SUCCESS,337736
JPMC-Bmth-04,1603129500999,3,112660,99987,337981,5.0,0,15,15,1,922,SUCCESS,337981
HighOctane,1602939025250,3,112683,99712,338050,5.333333333333333,0,16,16,2,923,SUCCESS,338050
DavidCollard911,1603644599104,3,112781,103407,338345,2.6666666666666665,0,8,8,1,924,SUCCESS,338345
Vinay-getsetgo,1603876077594,3,112813,104884,338440,5.666666666666667,0,17,17,5,925,SUCCESS,338440
wvueagle,1602523396073,3,112844,103320,338534,9.666666666666666,0,29,29,5,926,SUCCESS,338534
MattE001,1602674718711,3,112952,105908,338856,4.333333333333333,0,13,13,1,927,SUCCESS,338856
charles-leclerc,1603997680533,3,113148,105463,339445,1.6666666666666667,0,5,5,1,928,SUCCESS,339445
blitz-wynk-racer,1603913907822,3,113190,96519,339572,14.0,0,42,42,4,929,SUCCESS,339572
DeLoren01,1602467987816,3,113220,109334,339660,6.333333333333333,0,19,19,1,930,SUCCESS,339660
Candy-Man,1604086949589,3,113267,106105,339803,4.0,0,12,12,1,931,SUCCESS,339803
Ramesh-e446943,1602523258503,3,113306,103882,339920,4.333333333333333,0,13,13,2,932,SUCCESS,339920
DesmoMike,1603283259125,3,113352,103172,340058,2.6666666666666665,0,8,8,2,933,SUCCESS,340058
IshaanKrishna-19042020,1602917253444,3,113404,111590,340213,2.0,0,6,6,5,934,SUCCESS,340213
ADS,1603987499955,3,113734,97406,341202,12.0,0,36,36,3,935,SUCCESS,341202
Group72,1602157747867,3,113745,106051,341237,3.0,0,9,9,10,936,SUCCESS,341237
carpins,1602595546125,3,113887,111209,341663,1.6666666666666667,0,5,5,1,937,SUCCESS,341663
highspeed-duojiaodu,1603292316682,3,114201,105005,342605,2.6666666666666665,0,7,8,1,938,SUCCESS,342605
Group103,1601978186876,3,114366,105631,343098,3.3333333333333335,0,10,10,5,939,SUCCESS,343098
Group52,1602065728938,3,114401,108346,343203,15.0,0,45,45,12,940,SUCCESS,343203
VatsanMadabushi,1603135183584,3,114567,113092,343703,0.3333333333333333,0,1,1,3,941,SUCCESS,343703
Monish,1603554683832,3,114617,104676,343851,4.666666666666667,0,14,14,1,942,SUCCESS,343851
gargj,1603122009492,3,114715,106945,344145,4.666666666666667,0,14,14,6,943,SUCCESS,344145
Hawaa-Hawaii,1603918140139,3,114732,111328,344198,12.333333333333334,0,37,37,6,944,SUCCESS,344198
diyw,1602711902776,3,114772,111193,344317,8.0,0,24,24,1,945,SUCCESS,344317
heqi,1603791200192,3,114898,109680,344696,5.0,0,15,15,2,946,SUCCESS,344696
