Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
PavanV,1603393153920,3,95015,93136,285045,0.3333333333333333,0,1,1,6,605,SUCCESS,285045,g2PWTxJbRySiq3GXVeSEXg,
Sparky100,1604104195951,3,95058,83910,285174,10.0,0,30,30,3,606,SUCCESS,285174,dB7ZhAfrTF25dqNKlok7gw,
andylyons,1602928236890,3,95093,91021,285279,0.0,0,0,0,14,607,SUCCESS,285279,Ow3ltwaiTYm_qdzYLEWRIQ,
Ankyrox,1604153561817,3,95116,85520,285349,1.3333333333333333,0,4,4,6,608,SUCCESS,285349,3C5eBK2TTlu_x03FX_LF3g,
Group135,1602155192143,3,95167,92101,285503,7.666666666666667,0,23,23,20,609,SUCCESS,285503,FBA2f8XCRFKWHZt0HYNm_w,
lokideepracer,1603408780294,3,95174,77058,285522,8.666666666666666,0,26,26,35,610,SUCCESS,285522,IIkygUVvSkiAa213oYB-IQ,
JalopyJoe,1602737316069,3,95210,91059,285631,1.3333333333333333,0,4,4,1,611,SUCCESS,285631,QzUsW6d-T6mgLJpmW4GAJw,
Group84,1602152201119,3,95265,85257,285796,1.3333333333333333,0,4,4,4,612,SUCCESS,285796,9sYUSgnzR6KI8BW4R6oCbw,
hc-leage-racer,1603062741053,3,95384,91201,286152,1.6666666666666667,0,5,5,2,613,SUCCESS,286152,O6EMAAeIQDq0wwP0j4PaeA,
sittah,1602382587727,3,95456,88137,286369,11.333333333333334,0,34,34,4,614,SUCCESS,286369,0WmF37TQQg6h66raND4PTg,
MartiniRizzo,1602297219901,3,95485,89884,286456,2.0,0,6,6,2,615,SUCCESS,286456,3f2f5903b7624e1f8e5b0Q,
WarCry,1603545103126,3,95581,91281,286745,1.0,0,3,3,2,616,SUCCESS,286745,rW38BMWIR1CyVBDczP9YVw,
LavJain,1602684324186,3,95593,89407,286779,2.0,0,6,6,1,617,SUCCESS,286779,Yh1Onu06RsyZjyrXg7-N1A,
domenico,1603951666707,3,95593,84056,286780,2.6666666666666665,0,8,8,3,618,SUCCESS,286780,qCU1jXd-RF-BYi1SWl0trw,
Anunay,1603372577302,3,95618,87517,286856,1.6666666666666667,0,5,5,1,619,SUCCESS,286856,bdUZtYADR2-BYVlVLs6BSw,
ShrutiKh1608,1603929508475,3,95665,84282,286996,1.6666666666666667,0,5,5,11,620,SUCCESS,286996,AOlhU_pYQkGuD6bXGAwY8g,
MrRacer24,1603391447635,3,95686,92066,287058,11.666666666666666,0,35,35,2,621,SUCCESS,287058,yagWKjbBRfypQwtgCBOIWg,
Chandrayaan,1603363475613,3,95732,90118,287197,1.6666666666666667,0,5,5,2,622,SUCCESS,287197,4J4a-lhySj-QIeySzQNnhA,
TRX-Super-Racer,1602865180416,3,95904,90368,287713,2.0,0,6,6,1,623,SUCCESS,287713,yLK-0628T3em0OiCgo3agQ,
