Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
matt,1555522573611,29434,118,SUCCESS,29434
BramVandewalle,1555530780945,29986,119,SUCCESS,29986
GJP-2wheels,1555707567480,29999,120,SUCCESS,29999
averdow,1556210490795,31149,121,SUCCESS,31149
rfhall,1555641104714,32264,122,SUCCESS,32264
boz,1556513744515,33866,123,SUCCESS,33866
neowo86,1555669614491,33873,124,SUCCESS,33873
houracer,1555987302240,33972,125,SUCCESS,33972
suneric,1555606215339,37663,126,SUCCESS,37663
donationk,1555663002648,39981,127,SUCCESS,39981
EC-Racer,1555608937745,40063,128,SUCCESS,40063
rothr,1556469876509,40197,129,SUCCESS,40197
Andaley,1556219222458,40431,130,SUCCESS,40431
alanmur,1555612201065,40514,131,SUCCESS,40514
jeffbarr,1556375467019,41317,132,SUCCESS,41317
canary,1556231070300,42448,133,SUCCESS,42448
BrianKim,1555569304588,46890,134,SUCCESS,46890
joodi,1555851717529,68587,135,SUCCESS,68587
YeppaH,1556235600336,69487,136,SUCCESS,69487
Mark,1556455609191,72215,137,SUCCESS,72215
Wildboar,1556188428197,77260,138,SUCCESS,77260
Racy-McRaceface,1555590013203,78563,139,SUCCESS,78563
aaronhma,1556153229340,80813,140,SUCCESS,80813
btown,1556078984955,83911,141,SUCCESS,83911
tg,1555576913542,84501,142,SUCCESS,84501
racermat,1555960317673,85678,143,SUCCESS,85678
DragonBallZX1,1556216637167,85710,144,SUCCESS,85710
drknrg,1556311474817,86911,145,SUCCESS,86911
deepracer,1555738195217,88284,146,SUCCESS,88284
zerone,1555573028403,88777,147,SUCCESS,88777
DJB,1555760686607,89554,148,SUCCESS,89554
RoboCar-Driver,1555594188964,90285,149,SUCCESS,90285
Turtle-racer,1556072174821,90462,150,SUCCESS,90462
prmodku,1555747799752,92491,151,SUCCESS,92491
D1,1556134136939,92991,152,SUCCESS,92991
ryan0583,1556370367052,93012,153,SUCCESS,93012
Robot-De-Niro,1556371211103,93437,154,SUCCESS,93437
Menahem,1556113480494,93860,155,SUCCESS,93860
Not-The-Stig,1556508543178,94407,156,SUCCESS,94407
taehoonko,1555562538357,95062,157,SUCCESS,95062
Gaylou,1556484713954,95856,158,SUCCESS,95856
Uhitz,1556532928560,96529,159,SUCCESS,96529
ScottMv,1556501861481,97069,160,SUCCESS,97069
