Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
Polaris-DNPds,1592303795568,3,16200,15862,48602,0.0,0,0,0,1,116,SUCCESS,48602
Etupirka-DNPds,1592446714703,3,16220,14940,48660,1.6666666666666667,0,5,5,1,117,SUCCESS,48660
Dumbo,1590989080941,3,16231,15127,48693,1.3333333333333333,0,4,4,1,118,SUCCESS,48693
Ashish-Langote,1593379078199,3,16308,14668,48924,0.3333333333333333,0,1,1,5,119,SUCCESS,48924
onepau,1591112266273,3,16461,15081,49383,0.3333333333333333,0,1,1,1,120,SUCCESS,49383
MIS3B-1,1592466289606,3,16487,15065,49462,2.3333333333333335,0,7,7,1,121,SUCCESS,49462
KAWAHI,1591692613465,3,16495,15291,49486,0.6666666666666666,0,2,2,9,122,SUCCESS,49486
LJG,1593449755041,3,16564,14626,49693,0.3333333333333333,0,1,1,5,123,SUCCESS,49693
My-First-Deep-Racer,1592125578703,3,16612,14823,49837,0.6666666666666666,0,2,2,3,124,SUCCESS,49837
Qiyu-DBS,1593070263754,3,16641,14228,49924,1.0,0,3,3,1,125,SUCCESS,49924
Hyderabad-3-Vega,1591001526789,3,16676,14682,50029,1.0,0,3,3,1,126,SUCCESS,50029
carcar,1592156900503,3,16727,15888,50181,0.6666666666666666,0,2,2,10,127,SUCCESS,50181
Blackcar,1592432841847,3,16785,15201,50356,0.6666666666666666,0,2,2,19,128,SUCCESS,50356
roxx0r-zero,1593527859875,3,16855,16652,50566,0.0,0,0,0,18,129,SUCCESS,50566
mocha,1592233439997,3,16906,15218,50719,0.3333333333333333,0,1,1,3,130,SUCCESS,50719
Jags,1592224789619,3,17024,15956,51072,0.3333333333333333,0,1,1,2,131,SUCCESS,51072
RogerRabbit,1593559907274,3,17126,15873,51379,2.3333333333333335,0,7,7,2,132,SUCCESS,51379
TonyJ,1591782735452,3,17129,10822,51387,3.3333333333333335,0,10,10,2,133,SUCCESS,51387
firnnauriel,1591012120496,3,17251,14301,51755,2.0,0,6,6,1,134,SUCCESS,51755
Geetu,1593239109595,3,17463,16123,52390,2.0,0,6,6,11,135,SUCCESS,52390
FCU-Annie,1591080612080,3,17518,15259,52554,0.6666666666666666,0,2,2,8,136,SUCCESS,52554
evanca,1592898517661,3,17640,13317,52921,2.3333333333333335,0,7,7,2,137,SUCCESS,52921
Yupa-DNPds,1592473781220,3,17873,15394,53620,2.6666666666666665,0,8,8,2,138,SUCCESS,53620
